	calJac3	canFam3	chlSab2	gorGor3	hg38	macFas5	micMur1	mm10	nasLar1	nomLeu3	otoGar3	panPan1	panTro4	papAnu2	ponAbe2	rheMac3	rhiRox1	saiBol1	tarSyr2	tupBel1
calJac3	0.00000000	0.47667833	0.16451885	0.15321002	0.15571870	0.16394605	0.34201756	0.58246130	0.16113949	0.15881407	0.43160550	0.15268166	0.15621366	0.16501391	0.15752338	0.16758322	0.16451999	0.08503201	0.34998679	0.44261062	
canFam3	0.47667833	0.00000000	0.44580544	0.43282455	0.43672742	0.44517123	0.47397815	0.72517159	0.43956139	0.44039943	0.55908009	0.43259369	0.43657228	0.44607772	0.43978720	0.45050358	0.44401566	0.46878502	0.50410911	0.56000957	
chlSab2	0.16451885	0.44580544	0.00000000	0.08468963	0.08524838	0.03329423	0.31200109	0.54983210	0.04515030	0.08941459	0.40385264	0.08382262	0.08587830	0.03460029	0.08799891	0.03912126	0.04574672	0.15885492	0.32064979	0.41234410	
gorGor3	0.15321002	0.43282455	0.08468963	0.00000000	0.02430862	0.08459482	0.30208916	0.53844271	0.08525327	0.05293147	0.39449181	0.02482737	0.02498209	0.08579447	0.04688483	0.08840680	0.08759645	0.14923734	0.31102652	0.40045083	
hg38	0.15571870	0.43672742	0.08524838	0.02430862	0.00000000	0.08639542	0.30182459	0.53795365	0.08434133	0.05477058	0.39527157	0.01970342	0.02107732	0.08752988	0.04702166	0.08891128	0.08685076	0.14912851	0.31170940	0.40253218	
macFas5	0.16394605	0.44517123	0.03329423	0.08459482	0.08639542	0.00000000	0.31025834	0.54810893	0.04376446	0.09011607	0.40273546	0.08352478	0.08670921	0.02357427	0.08800315	0.01354292	0.04451332	0.15768234	0.31913018	0.41141910	
micMur1	0.34201756	0.47397815	0.31200109	0.30208916	0.30182459	0.31025834	0.00000000	0.61364086	0.31022601	0.30533551	0.28103852	0.30180088	0.30219776	0.31132809	0.30487268	0.31508196	0.31300800	0.33763851	0.36555396	0.44840699	
mm10	0.58246130	0.72517159	0.54983210	0.53844271	0.53795365	0.54810893	0.61364086	0.00000000	0.54793675	0.54483675	0.68318912	0.53746448	0.53896217	0.54949459	0.54421116	0.55486593	0.54931876	0.57805379	0.63110193	0.68472942	
nasLar1	0.16113949	0.43956139	0.04515030	0.08525327	0.08434133	0.04376446	0.31022601	0.54793675	0.00000000	0.08842275	0.40026458	0.08477558	0.08492426	0.04495986	0.08684518	0.04914451	0.01794872	0.15767660	0.31862253	0.40929852	
nomLeu3	0.15881407	0.44039943	0.08941459	0.05293147	0.05477058	0.09011607	0.30533551	0.54483675	0.08842275	0.00000000	0.39749943	0.05160070	0.05476453	0.09131493	0.05588055	0.09309928	0.09080963	0.15223244	0.31390044	0.40569126	
otoGar3	0.43160550	0.55908009	0.40385264	0.39449181	0.39527157	0.40273546	0.28103852	0.68318912	0.40026458	0.39749943	0.00000000	0.39502778	0.39571185	0.40373628	0.39827346	0.40791986	0.40550186	0.42767227	0.45351795	0.52860881	
panPan1	0.15268166	0.43259369	0.08382262	0.02482737	0.01970342	0.08352478	0.30180088	0.53746448	0.08477558	0.05160070	0.39502778	0.00000000	0.00881203	0.08480758	0.04563594	0.08767150	0.08718351	0.14923764	0.31110011	0.40064629	
panTro4	0.15621366	0.43657228	0.08587830	0.02498209	0.02107732	0.08670921	0.30219776	0.53896217	0.08492426	0.05476453	0.39571185	0.00881203	0.00000000	0.08787085	0.04740171	0.08959579	0.08745180	0.14954103	0.31197563	0.40273983	
papAnu2	0.16501391	0.44607772	0.03460029	0.08579447	0.08752988	0.02357427	0.31132809	0.54949459	0.04495986	0.09131493	0.40373628	0.08480758	0.08787085	0.00000000	0.08935979	0.02903975	0.04571209	0.15895116	0.32043495	0.41263990	
ponAbe2	0.15752338	0.43978720	0.08799891	0.04688483	0.04702166	0.08800315	0.30487268	0.54421116	0.08684518	0.05588055	0.39827346	0.04563594	0.04740171	0.08935979	0.00000000	0.09157436	0.08901730	0.15151197	0.31409854	0.40544388	
rheMac3	0.16758322	0.45050358	0.03912126	0.08840680	0.08891128	0.01354292	0.31508196	0.55486593	0.04914451	0.09309928	0.40791986	0.08767150	0.08959579	0.02903975	0.09157436	0.00000000	0.04999157	0.16162710	0.32447416	0.41647281	
rhiRox1	0.16451999	0.44401566	0.04574672	0.08759645	0.08685076	0.04451332	0.31300800	0.54931876	0.01794872	0.09080963	0.40550186	0.08718351	0.08745180	0.04571209	0.08901730	0.04999157	0.00000000	0.16107765	0.32209211	0.41271263	
saiBol1	0.08503201	0.46878502	0.15885492	0.14923734	0.14912851	0.15768234	0.33763851	0.57805379	0.15767660	0.15223244	0.42767227	0.14923764	0.14954103	0.15895116	0.15151197	0.16162710	0.16107765	0.00000000	0.34510069	0.43591079	
tarSyr2	0.34998679	0.50410911	0.32064979	0.31102652	0.31170940	0.31913018	0.36555396	0.63110193	0.31862253	0.31390044	0.45351795	0.31110011	0.31197563	0.32043495	0.31409854	0.32447416	0.32209211	0.34510069	0.00000000	0.46994558	
tupBel1	0.44261062	0.56000957	0.41234410	0.40045083	0.40253218	0.41141910	0.44840699	0.68472942	0.40929852	0.40569126	0.52860881	0.40064629	0.40273983	0.41263990	0.40544388	0.41647281	0.41271263	0.43591079	0.46994558	0.00000000	
