	calJac3	canFam3	chlSab2	gorGor3	hg38	macFas5	micMur1	mm10	nasLar1	nomLeu3	otoGar3	panPan1	panTro4	papAnu2	ponAbe2	rheMac3	rhiRox1	saiBol1	tarSyr2	tupBel1
calJac3	0.00000000	0.24689891	0.10238109	0.09624417	0.09674369	0.10167732	0.19206075	0.30502523	0.10132048	0.09771029	0.22259036	0.09608968	0.09690416	0.10196785	0.09711633	0.10138326	0.10209269	0.05340904	0.20031475	0.23521396	
canFam3	0.24689891	0.00000000	0.23697350	0.23299992	0.23325349	0.23647388	0.23448931	0.33106069	0.23639662	0.23393602	0.26026575	0.23283308	0.23322753	0.23665187	0.23371844	0.23646999	0.23666185	0.24601621	0.24699407	0.26231912	
chlSab2	0.10238109	0.23697350	0.00000000	0.05517084	0.05525604	0.01810615	0.18110027	0.29614793	0.02871341	0.05673731	0.21327763	0.05494503	0.05559952	0.01872795	0.05597895	0.01886716	0.02869557	0.10124051	0.19006958	0.22537028	
gorGor3	0.09624417	0.23299992	0.05517084	0.00000000	0.01483176	0.05441254	0.17671485	0.29322800	0.05475461	0.03332801	0.20942633	0.01502336	0.01555301	0.05483475	0.02866514	0.05409874	0.05529283	0.09530935	0.18591732	0.22150438	
hg38	0.09674369	0.23325349	0.05525604	0.01483176	0.00000000	0.05470154	0.17680138	0.29305777	0.05463590	0.03331112	0.20992235	0.01056373	0.01093127	0.05518895	0.02837315	0.05417601	0.05547278	0.09559879	0.18622915	0.22153210	
macFas5	0.10167732	0.23647388	0.01810615	0.05441254	0.05470154	0.00000000	0.18050288	0.29565759	0.02716339	0.05599037	0.21280456	0.05420046	0.05487468	0.01117114	0.05521486	0.00517058	0.02732286	0.10044046	0.18947234	0.22486097	
micMur1	0.19206075	0.23448931	0.18110027	0.17671485	0.17680138	0.18050288	0.00000000	0.29845178	0.18078037	0.17736332	0.15650346	0.17647439	0.17694440	0.18071336	0.17725123	0.18045764	0.18097305	0.19107355	0.19095457	0.22226434	
mm10	0.30502523	0.33106069	0.29614793	0.29322800	0.29305777	0.29565759	0.29845178	0.00000000	0.29639968	0.29432014	0.31759572	0.29290758	0.29369991	0.29566536	0.29395135	0.29575300	0.29615631	0.30411326	0.30833131	0.32090236	
nasLar1	0.10132048	0.23639662	0.02871341	0.05475461	0.05463590	0.02716339	0.18078037	0.29639968	0.00000000	0.05609216	0.21237091	0.05453998	0.05496687	0.02775802	0.05537596	0.02780407	0.01025517	0.10046382	0.18954473	0.22495500	
nomLeu3	0.09771029	0.23393602	0.05673731	0.03332801	0.03331112	0.05599037	0.17736332	0.29432014	0.05609216	0.00000000	0.21008877	0.03302435	0.03369805	0.05637949	0.03400472	0.05574992	0.05662166	0.09642152	0.18655285	0.22238338	
otoGar3	0.22259036	0.26026575	0.21327763	0.20942633	0.20992235	0.21280456	0.15650346	0.31759572	0.21237091	0.21008877	0.00000000	0.20951487	0.20960321	0.21300991	0.21008293	0.21259088	0.21324657	0.22209308	0.22061014	0.24813149	
panPan1	0.09608968	0.23283308	0.05494503	0.01502336	0.01056373	0.05420046	0.17647439	0.29290758	0.05453998	0.03302435	0.20951487	0.00000000	0.00453979	0.05462275	0.02836296	0.05380502	0.05512562	0.09525557	0.18578441	0.22130574	
panTro4	0.09690416	0.23322753	0.05559952	0.01555301	0.01093127	0.05487468	0.17694440	0.29369991	0.05496687	0.03369805	0.20960321	0.00453979	0.00000000	0.05531572	0.02891099	0.05457374	0.05551143	0.09560694	0.18629575	0.22169634	
papAnu2	0.10196785	0.23665187	0.01872795	0.05483475	0.05518895	0.01117114	0.18071336	0.29566536	0.02775802	0.05637949	0.21300991	0.05462275	0.05531572	0.00000000	0.05564965	0.01215798	0.02791879	0.10074081	0.18961704	0.22496494	
ponAbe2	0.09711633	0.23371844	0.05597895	0.02866514	0.02837315	0.05521486	0.17725123	0.29395135	0.05537596	0.03400472	0.21008293	0.02836296	0.02891099	0.05564965	0.00000000	0.05492062	0.05596949	0.09599478	0.18648084	0.22212067	
rheMac3	0.10138326	0.23646999	0.01886716	0.05409874	0.05417601	0.00517058	0.18045764	0.29575300	0.02780407	0.05574992	0.21259088	0.05380502	0.05457374	0.01215798	0.05492062	0.00000000	0.02778240	0.10024966	0.18923903	0.22474207	
rhiRox1	0.10209269	0.23666185	0.02869557	0.05529283	0.05547278	0.02732286	0.18097305	0.29615631	0.01025517	0.05662166	0.21324657	0.05512562	0.05551143	0.02791879	0.05596949	0.02778240	0.00000000	0.10116902	0.18992296	0.22525296	
saiBol1	0.05340904	0.24601621	0.10124051	0.09530935	0.09559879	0.10044046	0.19107355	0.30411326	0.10046382	0.09642152	0.22209308	0.09525557	0.09560694	0.10074081	0.09599478	0.10024966	0.10116902	0.00000000	0.19919803	0.23433775	
tarSyr2	0.20031475	0.24699407	0.19006958	0.18591732	0.18622915	0.18947234	0.19095457	0.30833131	0.18954473	0.18655285	0.22061014	0.18578441	0.18629575	0.18961704	0.18648084	0.18923903	0.18992296	0.19919803	0.00000000	0.23570726	
tupBel1	0.23521396	0.26231912	0.22537028	0.22150438	0.22153210	0.22486097	0.22226434	0.32090236	0.22495500	0.22238338	0.24813149	0.22130574	0.22169634	0.22496494	0.22212067	0.22474207	0.22525296	0.23433775	0.23570726	0.00000000	
