	calJac3	canFam3	chlSab2	gorGor3	hg38	macFas5	micMur1	mm10	nasLar1	nomLeu3	otoGar3	panPan1	panTro4	papAnu2	ponAbe2	rheMac3	rhiRox1	saiBol1	tarSyr2	tupBel1
calJac3	0.00000000	0.34239477	0.13031755	0.12060397	0.12321470	0.12920749	0.26603070	0.44807932	0.12783141	0.12418431	0.31727137	0.12018668	0.12303005	0.12998287	0.12333713	0.12897055	0.12917314	0.06717422	0.27308646	0.33445172	
canFam3	0.34239477	0.00000000	0.32401211	0.31591427	0.31802136	0.32362332	0.33238587	0.50467013	0.32242074	0.31875060	0.37973440	0.31580412	0.31672244	0.32404333	0.31813368	0.32352040	0.32348053	0.33805344	0.34991652	0.38323497	
chlSab2	0.13031755	0.32401211	0.00000000	0.06833261	0.06988694	0.02615733	0.24769130	0.42895650	0.03592861	0.07158331	0.29962370	0.06773937	0.06978215	0.02718001	0.07063529	0.02700025	0.03579407	0.12596985	0.25513237	0.31610352	
gorGor3	0.12060397	0.31591427	0.06833261	0.00000000	0.01835761	0.06726930	0.24002500	0.42245526	0.06811693	0.04142785	0.29210830	0.01818138	0.01861165	0.06807691	0.03683151	0.06732842	0.06893054	0.11750780	0.24740047	0.30758575	
hg38	0.12321470	0.31802136	0.06988694	0.01835761	0.00000000	0.06975506	0.24009637	0.42147466	0.06806944	0.04367238	0.29260532	0.01438116	0.01630395	0.07056879	0.03803327	0.06875315	0.06908861	0.11795087	0.24845785	0.30903246	
macFas5	0.12920749	0.32362332	0.02615733	0.06726930	0.06975506	0.00000000	0.24612280	0.42758376	0.03413312	0.07102664	0.29793499	0.06648834	0.06944967	0.01747137	0.06980683	0.00551735	0.03402977	0.12441325	0.25345218	0.31512309	
micMur1	0.26603070	0.33238587	0.24769130	0.24002500	0.24009637	0.24612280	0.00000000	0.45499547	0.24667341	0.24132395	0.21478023	0.23967435	0.23987475	0.24685611	0.24097174	0.24659727	0.24760221	0.26238432	0.27045588	0.32673785	
mm10	0.44807932	0.50467013	0.42895650	0.42245526	0.42147466	0.42758376	0.45499547	0.00000000	0.42957253	0.42464847	0.49257160	0.42220383	0.42156828	0.42830293	0.42400278	0.42852340	0.42941410	0.44480744	0.46599110	0.49461880	
nasLar1	0.12783141	0.32242074	0.03592861	0.06811693	0.06806944	0.03413312	0.24667341	0.42957253	0.00000000	0.07004436	0.29800591	0.06778462	0.06808703	0.03509947	0.06888120	0.03496340	0.01261737	0.12501469	0.25347188	0.31426542	
nomLeu3	0.12418431	0.31875060	0.07158331	0.04142785	0.04367238	0.07102664	0.24132395	0.42464847	0.07004436	0.00000000	0.29320418	0.04049518	0.04337775	0.07186987	0.04387867	0.07040743	0.07080926	0.11927979	0.24845890	0.31025356	
otoGar3	0.31727137	0.37973440	0.29962370	0.29210830	0.29260532	0.29793499	0.21478023	0.49257160	0.29800591	0.29320418	0.00000000	0.29204379	0.29240844	0.29872038	0.29336842	0.29826936	0.29973496	0.31374357	0.32042974	0.37227409	
panPan1	0.12018668	0.31580412	0.06773937	0.01818138	0.01438116	0.06648834	0.23967435	0.42220383	0.06778462	0.04049518	0.29204379	0.00000000	0.00540549	0.06738008	0.03591946	0.06678651	0.06862113	0.11745479	0.24736180	0.30740699	
panTro4	0.12303005	0.31672244	0.06978215	0.01861165	0.01630395	0.06944967	0.23987475	0.42156828	0.06808703	0.04337775	0.29240844	0.00540549	0.00000000	0.07029642	0.03795582	0.06872953	0.06896701	0.11781590	0.24810162	0.30852748	
papAnu2	0.12998287	0.32404333	0.02718001	0.06807691	0.07056879	0.01747137	0.24685611	0.42830293	0.03509947	0.07186987	0.29872038	0.06738008	0.07029642	0.00000000	0.07079177	0.01800548	0.03500929	0.12530928	0.25430081	0.31568874	
ponAbe2	0.12333713	0.31813368	0.07063529	0.03683151	0.03803327	0.06980683	0.24097174	0.42400278	0.06888120	0.04387867	0.29336842	0.03591946	0.03795582	0.07079177	0.00000000	0.06935222	0.06962308	0.11857713	0.24860649	0.30959560	
rheMac3	0.12897055	0.32352040	0.02700025	0.06732842	0.06875315	0.00551735	0.24659727	0.42852340	0.03496340	0.07040743	0.29826936	0.06678651	0.06872953	0.01800548	0.06935222	0.00000000	0.03488884	0.12478609	0.25373658	0.31490725	
rhiRox1	0.12917314	0.32348053	0.03579407	0.06893054	0.06908861	0.03402977	0.24760221	0.42941410	0.01261737	0.07080926	0.29973496	0.06862113	0.06896701	0.03500929	0.06962308	0.03488884	0.00000000	0.12632736	0.25511413	0.31531697	
saiBol1	0.06717422	0.33805344	0.12596985	0.11750780	0.11795087	0.12441325	0.26238432	0.44480744	0.12501469	0.11927979	0.31374357	0.11745479	0.11781590	0.12530928	0.11857713	0.12478609	0.12632736	0.00000000	0.26885159	0.32916621	
tarSyr2	0.27308646	0.34991652	0.25513237	0.24740047	0.24845785	0.25345218	0.27045588	0.46599110	0.25347188	0.24845890	0.32042974	0.24736180	0.24810162	0.25430081	0.24860649	0.25373658	0.25511413	0.26885159	0.00000000	0.33923056	
tupBel1	0.33445172	0.38323497	0.31610352	0.30758575	0.30903246	0.31512309	0.32673785	0.49461880	0.31426542	0.31025356	0.37227409	0.30740699	0.30852748	0.31568874	0.30959560	0.31490725	0.31531697	0.32916621	0.33923056	0.00000000	
