	calJac3	canFam3	chlSab2	gorGor3	hg38	macFas5	micMur1	mm10	nasLar1	nomLeu3	otoGar3	panPan1	panTro4	papAnu2	ponAbe2	rheMac3	rhiRox1	saiBol1	tarSyr2	tupBel1
calJac3	0.00000000	0.34911309	0.15485102	0.12807825	0.17280684	0.12356240	0.30107761	0.39379163	0.21448987	0.11744923	0.00000000	0.12156731	0.16980599	0.12445784	0.11675279	0.12251806	0.21401159	0.07684131	0.32249657	0.36774790	
canFam3	0.34911309	0.00000000	0.35870551	0.00000000	0.36357718	0.33065707	0.39379336	0.43642300	nan	0.32627683	0.00000000	0.00000000	0.36314634	0.33215201	0.33209441	0.33515697	0.39952827	0.00000000	0.41154930	0.42295949	
chlSab2	0.15485102	0.35870551	0.00000000	0.07919061	0.10752804	0.06240532	0.28914368	0.40035283	0.11002661	0.09326911	0.00000000	0.08111508	0.10569388	0.06309054	0.08089052	0.04072543	0.07479825	0.16273825	0.31526783	0.34522519	
gorGor3	0.12807825	0.00000000	0.07919061	0.00000000	0.08186799	0.07612598	0.00000000	0.00000000	0.09089261	0.07334366	0.00000000	0.04696756	0.06011270	0.07776876	0.03969893	0.07407990	0.10609593	0.14300235	nan	0.00000000	
hg38	0.17280684	0.36357718	0.10752804	0.08186799	0.00000000	0.13172730	0.30282381	0.40302791	0.15310779	0.11085471	0.39832261	0.10113221	0.02974738	0.13232751	0.07965424	0.10373692	0.12162088	0.17849707	0.31960482	0.34394290	
macFas5	0.12356240	0.33065707	0.06240532	0.07612598	0.13172730	0.00000000	0.28585137	0.37507424	0.10146843	0.07551020	0.41537850	0.07388035	0.12508317	0.02416236	0.06913839	0.00936522	0.12298466	0.14828873	0.30085324	0.33953301	
micMur1	0.30107761	0.39379336	0.28914368	0.00000000	0.30282381	0.28585137	0.00000000	0.38987555	0.00000000	0.28162305	0.00000000	0.00000000	0.30571827	0.28606320	0.27677931	0.28164368	0.00000000	0.00000000	0.00000000	0.34261183	
mm10	0.39379163	0.43642300	0.40035283	0.00000000	0.40302791	0.37507424	0.38987555	0.00000000	nan	0.37504854	0.00000000	0.00000000	0.40240507	0.37498653	0.37834453	0.37906593	0.40326362	0.00000000	0.41839321	0.41824994	
nasLar1	0.21448987	nan	0.11002661	0.09089261	0.15310779	0.10146843	0.00000000	nan	0.00000000	0.12514164	0.00000000	0.07507340	0.14728906	0.10197214	0.10129364	0.06593078	0.06380785	0.14785645	0.31702976	0.00000000	
nomLeu3	0.11744923	0.32627683	0.09326911	0.07334366	0.11085471	0.07551020	0.28162305	0.37504854	0.12514164	0.00000000	0.41239583	0.08129038	0.10313363	0.07732763	0.04243008	0.06661815	0.14642302	0.14496061	0.30158101	0.33470349	
otoGar3	0.00000000	0.00000000	0.00000000	0.00000000	0.39832261	0.41537850	0.00000000	0.00000000	0.00000000	0.41239583	0.00000000	0.00000000	0.40047515	0.41457493	0.40816771	0.40868314	0.00000000	0.00000000	0.00000000	0.00000000	
panPan1	0.12156731	0.00000000	0.08111508	0.04696756	0.10113221	0.07388035	0.00000000	0.00000000	0.07507340	0.08129038	0.00000000	0.00000000	0.09105383	0.07487890	0.04537968	0.07076435	0.07914182	0.12356453	nan	0.00000000	
panTro4	0.16980599	0.36314634	0.10569388	0.06011270	0.02974738	0.12508317	0.30571827	0.40240507	0.14728906	0.10313363	0.40047515	0.09105383	0.00000000	0.12559952	0.08024410	0.10247061	0.11797296	0.17631260	0.31513495	0.34557519	
papAnu2	0.12445784	0.33215201	0.06309054	0.07776876	0.13232751	0.02416236	0.28606320	0.37498653	0.10197214	0.07732763	0.41457493	0.07487890	0.12559952	0.00000000	0.07077977	0.01864597	0.12207219	0.14717101	0.30020292	0.34052413	
ponAbe2	0.11675279	0.33209441	0.08089052	0.03969893	0.07965424	0.06913839	0.27677931	0.37834453	0.10129364	0.04243008	0.40816771	0.04537968	0.08024410	0.07077977	0.00000000	0.06790094	0.10529428	0.13806056	0.28744275	0.33352736	
rheMac3	0.12251806	0.33515697	0.04072543	0.07407990	0.10373692	0.00936522	0.28164368	0.37906593	0.06593078	0.06661815	0.40868314	0.07076435	0.10247061	0.01864597	0.06790094	0.00000000	0.07466847	0.13952129	0.29445708	0.33695263	
rhiRox1	0.21401159	0.39952827	0.07479825	0.10609593	0.12162088	0.12298466	0.00000000	0.40326362	0.06380785	0.14642302	0.00000000	0.07914182	0.11797296	0.12207219	0.10529428	0.07466847	0.00000000	0.17042224	0.32302110	nan	
saiBol1	0.07684131	0.00000000	0.16273825	0.14300235	0.17849707	0.14828873	0.00000000	0.00000000	0.14785645	0.14496061	0.00000000	0.12356453	0.17631260	0.14717101	0.13806056	0.13952129	0.17042224	0.00000000	0.30728447	0.00000000	
tarSyr2	0.32249657	0.41154930	0.31526783	nan	0.31960482	0.30085324	0.00000000	0.41839321	0.31702976	0.30158101	0.00000000	nan	0.31513495	0.30020292	0.28744275	0.29445708	0.32302110	0.30728447	0.00000000	nan	
tupBel1	0.36774790	0.42295949	0.34522519	0.00000000	0.34394290	0.33953301	0.34261183	0.41824994	0.00000000	0.33470349	0.00000000	0.00000000	0.34557519	0.34052413	0.33352736	0.33695263	nan	0.00000000	nan	0.00000000	
