	calJac3	canFam3	chlSab2	gorGor3	hg38	macFas5	micMur1	mm10	nasLar1	nomLeu3	otoGar3	panPan1	panTro4	papAnu2	ponAbe2	rheMac3	rhiRox1	saiBol1	tarSyr2	tupBel1
calJac3	0.00000000	0.29694334	0.10779775	0.10077541	0.10135254	0.10695430	0.21718496	0.38781036	0.10654729	0.10256813	0.26068969	0.10055913	0.10154318	0.10730417	0.10187727	0.10665143	0.10744021	0.05433531	0.23113491	0.27752410	
canFam3	0.29694334	0.00000000	0.28205634	0.27613545	0.27679081	0.28129267	0.27888836	0.43621448	0.28113530	0.27774501	0.31865796	0.27606169	0.27681187	0.28159818	0.27741794	0.28115208	0.28145900	0.29532408	0.29868618	0.32130263	
chlSab2	0.10779775	0.28205634	0.00000000	0.05593800	0.05602234	0.01791708	0.20224963	0.37275648	0.02858973	0.05767792	0.24768247	0.05566593	0.05634766	0.01855327	0.05686444	0.01876156	0.02856909	0.10635350	0.21699107	0.26315411	
gorGor3	0.10077541	0.27613545	0.05593800	0.00000000	0.01475488	0.05508677	0.19650333	0.36777899	0.05543217	0.03344575	0.24238218	0.01491192	0.01541101	0.05553139	0.02869555	0.05475824	0.05606130	0.09959623	0.21140545	0.25785636	
hg38	0.10135254	0.27679081	0.05602234	0.01475488	0.00000000	0.05538928	0.19671781	0.36775935	0.05527739	0.03350484	0.24335915	0.01046847	0.01081456	0.05592778	0.02839331	0.05483180	0.05626460	0.09991668	0.21194981	0.25800388	
macFas5	0.10695430	0.28129267	0.01791708	0.05508677	0.05538928	0.00000000	0.20139134	0.37186297	0.02697224	0.05684244	0.24683770	0.05483025	0.05552973	0.01097479	0.05600889	0.00514920	0.02714475	0.10538570	0.21626240	0.26236369	
micMur1	0.21718496	0.27888836	0.20224963	0.19650333	0.19671781	0.20139134	0.00000000	0.37722343	0.20177715	0.19731330	0.17305252	0.19616275	0.19692167	0.20166773	0.19733028	0.20123275	0.20193680	0.21558310	0.21820583	0.25954482	
mm10	0.38781036	0.43621448	0.37275648	0.36777899	0.36775935	0.37186297	0.37722343	0.00000000	0.37323027	0.36972648	0.41054246	0.36728289	0.36892232	0.37177205	0.36920266	0.37185136	0.37260550	0.38599605	0.39523443	0.41677678	
nasLar1	0.10654729	0.28113530	0.02858973	0.05543217	0.05527739	0.02697224	0.20177715	0.37323027	0.00000000	0.05691678	0.24602588	0.05515558	0.05559526	0.02758604	0.05615187	0.02768504	0.01011504	0.10546199	0.21644025	0.26231034	
nomLeu3	0.10256813	0.27774501	0.05767792	0.03344575	0.03350484	0.05684244	0.19731330	0.36972648	0.05691678	0.00000000	0.24323228	0.03311278	0.03377891	0.05724417	0.03420362	0.05659575	0.05754859	0.10094073	0.21212376	0.25906198	
otoGar3	0.26068969	0.31865796	0.24768247	0.24238218	0.24335915	0.24683770	0.17305252	0.41054246	0.24602588	0.24323228	0.00000000	0.24271977	0.24261393	0.24718763	0.24343866	0.24647865	0.24748814	0.25985859	0.25981010	0.29790503	
panPan1	0.10055913	0.27606169	0.05566593	0.01491192	0.01046847	0.05483025	0.19616275	0.36728289	0.05515558	0.03311278	0.24271977	0.00000000	0.00439639	0.05528128	0.02835196	0.05440353	0.05585777	0.09950905	0.21129802	0.25759054	
panTro4	0.10154318	0.27681187	0.05634766	0.01541101	0.01081456	0.05552973	0.19692167	0.36892232	0.05559526	0.03377891	0.24261393	0.00439639	0.00000000	0.05600189	0.02890642	0.05523729	0.05624370	0.09991361	0.21200892	0.25814973	
papAnu2	0.10730417	0.28159818	0.01855327	0.05553139	0.05592778	0.01097479	0.20166773	0.37177205	0.02758604	0.05724417	0.24718763	0.05528128	0.05600189	0.00000000	0.05646518	0.01206098	0.02776125	0.10573506	0.21644160	0.26246925	
ponAbe2	0.10187727	0.27741794	0.05686444	0.02869555	0.02839331	0.05600889	0.19733028	0.36920266	0.05615187	0.03420362	0.24343866	0.02835196	0.02890642	0.05646518	0.00000000	0.05569488	0.05685551	0.10045752	0.21224508	0.25876852	
rheMac3	0.10665143	0.28115208	0.01876156	0.05475824	0.05483180	0.00514920	0.20123275	0.37185136	0.02768504	0.05659575	0.24647865	0.05440353	0.05523729	0.01206098	0.05569488	0.00000000	0.02766837	0.10520914	0.21589939	0.26202502	
rhiRox1	0.10744021	0.28145900	0.02856909	0.05606130	0.05626460	0.02714475	0.20193680	0.37260550	0.01011504	0.05754859	0.24748814	0.05585777	0.05624370	0.02776125	0.05685551	0.02766837	0.00000000	0.10626873	0.21681412	0.26287942	
saiBol1	0.05433531	0.29532408	0.10635350	0.09959623	0.09991668	0.10538570	0.21558310	0.38599605	0.10546199	0.10094073	0.25985859	0.09950905	0.09991361	0.10573506	0.10045752	0.10520914	0.10626873	0.00000000	0.22925644	0.27601058	
tarSyr2	0.23113491	0.29868618	0.21699107	0.21140545	0.21194981	0.21626240	0.21820583	0.39523443	0.21644025	0.21212376	0.25981010	0.21129802	0.21200892	0.21644160	0.21224508	0.21589939	0.21681412	0.22925644	0.00000000	0.28036815	
tupBel1	0.27752410	0.32130263	0.26315411	0.25785636	0.25800388	0.26236369	0.25954482	0.41677678	0.26231034	0.25906198	0.29790503	0.25759054	0.25814973	0.26246925	0.25876852	0.26202502	0.26287942	0.27601058	0.28036815	0.00000000	
