	calJac3	canFam3	chlSab2	gorGor3	hg38	macFas5	micMur1	mm10	nasLar1	nomLeu3	otoGar3	panPan1	panTro4	papAnu2	ponAbe2	rheMac3	rhiRox1	saiBol1	tarSyr2	tupBel1
calJac3	0.00000000	0.26018996	0.10968516	0.10331839	0.10395777	0.10875630	0.20839422	0.31953852	0.10856050	0.10537929	0.24045972	0.10334782	0.10393070	0.10933513	0.10437309	0.10875930	0.11000298	0.06009162	0.21986175	0.25428628	
canFam3	0.26018996	0.00000000	0.24909558	0.24495260	0.24494695	0.24837832	0.25465164	0.34998510	0.24904872	0.24646775	0.28194699	0.24498354	0.24494857	0.24875707	0.24581022	0.24883169	0.24938817	0.25936399	0.27253091	0.28559171	
chlSab2	0.10968516	0.24909558	0.00000000	0.06100780	0.06095439	0.02245312	0.19623827	0.30921980	0.03229377	0.06306553	0.22969115	0.06065952	0.06112880	0.02341302	0.06174440	0.02312245	0.03251735	0.10882884	0.20818548	0.24343691	
gorGor3	0.10331839	0.24495260	0.06100780	0.00000000	0.01739916	0.06002549	0.19172274	0.30616937	0.06062480	0.03947159	0.22529085	0.01705692	0.01730785	0.06078000	0.03372023	0.05983232	0.06154238	0.10246420	0.20380122	0.23954979	
hg38	0.10395777	0.24494695	0.06095439	0.01739916	0.00000000	0.06037707	0.19154225	0.30557149	0.06039080	0.03964737	0.22560650	0.01325364	0.01363641	0.06114708	0.03343642	0.05979769	0.06152045	0.10277090	0.20416746	0.23951146	
macFas5	0.10875630	0.24837832	0.02245312	0.06002549	0.06037707	0.00000000	0.19545039	0.30858641	0.03051396	0.06217000	0.22899989	0.05967861	0.06043942	0.01440761	0.06086250	0.00508311	0.03091476	0.10774933	0.20734629	0.24275093	
micMur1	0.20839422	0.25465164	0.19623827	0.19172274	0.19154225	0.19545039	0.00000000	0.32200512	0.19655255	0.19300131	0.17629424	0.19161758	0.19159242	0.19588493	0.19227911	0.19578775	0.19676321	0.20774060	0.21999361	0.25072077	
mm10	0.31953852	0.34998510	0.30921980	0.30616937	0.30557149	0.30858641	0.32200512	0.00000000	0.30987159	0.30774762	0.34131349	0.30613270	0.30594005	0.30878214	0.30686341	0.30927447	0.30957188	0.31908842	0.33379728	0.34499136	
nasLar1	0.10856050	0.24904872	0.03229377	0.06062480	0.06039080	0.03051396	0.19655255	0.30987159	0.00000000	0.06247329	0.22904761	0.06033228	0.06053798	0.03138943	0.06121289	0.03126821	0.01176926	0.10808187	0.20780338	0.24365456	
nomLeu3	0.10537929	0.24646775	0.06306553	0.03947159	0.03964737	0.06217000	0.19300131	0.30774762	0.06247329	0.00000000	0.22688274	0.03886604	0.03956184	0.06291209	0.03999603	0.06190385	0.06347499	0.10440360	0.20527194	0.24109070	
otoGar3	0.24045972	0.28194699	0.22969115	0.22529085	0.22560650	0.22899989	0.17629424	0.34131349	0.22904761	0.22688274	0.00000000	0.22556442	0.22558546	0.22932427	0.22618463	0.22917816	0.23017415	0.24010522	0.25114739	0.27638240	
panPan1	0.10334782	0.24498354	0.06065952	0.01705692	0.01325364	0.05967861	0.19161758	0.30613270	0.06033228	0.03886604	0.22556442	0.00000000	0.00505456	0.06045129	0.03314263	0.05955040	0.06124011	0.10255035	0.20389538	0.23958096	
panTro4	0.10393070	0.24494857	0.06112880	0.01730785	0.01363641	0.06043942	0.19159242	0.30594005	0.06053798	0.03956184	0.22558546	0.00505456	0.00000000	0.06119327	0.03367989	0.05996679	0.06153097	0.10272878	0.20381621	0.23956036	
papAnu2	0.10933513	0.24875707	0.02341302	0.06078000	0.06114708	0.01440761	0.19588493	0.30878214	0.03138943	0.06291209	0.22932427	0.06045129	0.06119327	0.00000000	0.06167293	0.01541937	0.03180414	0.10835543	0.20781920	0.24314940	
ponAbe2	0.10437309	0.24581022	0.06174440	0.03372023	0.03343642	0.06086250	0.19227911	0.30686341	0.06121289	0.03999603	0.22618463	0.03314263	0.03367989	0.06167293	0.00000000	0.06060465	0.06221691	0.10332867	0.20441158	0.24038576	
rheMac3	0.10875930	0.24883169	0.02312245	0.05983232	0.05979769	0.00508311	0.19578775	0.30927447	0.03126821	0.06190385	0.22917816	0.05955040	0.05996679	0.01541937	0.06060465	0.00000000	0.03148707	0.10791766	0.20753197	0.24305606	
rhiRox1	0.11000298	0.24938817	0.03251735	0.06154238	0.06152045	0.03091476	0.19676321	0.30957188	0.01176926	0.06347499	0.23017415	0.06124011	0.06153097	0.03180414	0.06221691	0.03148707	0.00000000	0.10935745	0.20861978	0.24393199	
saiBol1	0.06009162	0.25936399	0.10882884	0.10246420	0.10277090	0.10774933	0.20774060	0.31908842	0.10808187	0.10440360	0.24010522	0.10255035	0.10272878	0.10835543	0.10332867	0.10791766	0.10935745	0.00000000	0.21938154	0.25360236	
tarSyr2	0.21986175	0.27253091	0.20818548	0.20380122	0.20416746	0.20734629	0.21999361	0.33379728	0.20780338	0.20527194	0.25114739	0.20389538	0.20381621	0.20781920	0.20441158	0.20753197	0.20861978	0.21938154	0.00000000	0.26552360	
tupBel1	0.25428628	0.28559171	0.24343691	0.23954979	0.23951146	0.24275093	0.25072077	0.34499136	0.24365456	0.24109070	0.27638240	0.23958096	0.23956036	0.24314940	0.24038576	0.24305606	0.24393199	0.25360236	0.26552360	0.00000000	
