	calJac3	canFam3	chlSab2	gorGor3	hg38	macFas5	micMur1	mm10	nasLar1	nomLeu3	otoGar3	panPan1	panTro4	papAnu2	ponAbe2	rheMac3	rhiRox1	saiBol1	tarSyr2	tupBel1
calJac3	0.00000000	0.40792613	0.13663108	0.12850695	0.12867245	0.13607771	0.27791483	0.52655006	0.13525243	0.13133482	0.35558535	0.12792195	0.12892145	0.13655502	0.13062650	0.13904470	0.13740349	0.06961906	0.29496550	0.36826718	
canFam3	0.40792613	0.00000000	0.38361324	0.37501775	0.37602254	0.38308338	0.39217640	0.64216047	0.38104924	0.37894971	0.46609065	0.37488967	0.37552048	0.38334630	0.37852180	0.38595910	0.38368575	0.40608567	0.42248186	0.46423738	
chlSab2	0.13663108	0.38361324	0.00000000	0.07046316	0.06965512	0.02375846	0.25445265	0.50038740	0.03668010	0.07323346	0.33528163	0.06978515	0.07026802	0.02457655	0.07210476	0.02907662	0.03721396	0.13498277	0.27266048	0.34507877	
gorGor3	0.12850695	0.37501775	0.07046316	0.00000000	0.02011770	0.07023055	0.24670251	0.49263877	0.07053464	0.04346736	0.32800168	0.02078295	0.02111947	0.07095662	0.03752476	0.07321815	0.07222653	0.12725275	0.26521423	0.33739915	
hg38	0.12867245	0.37602254	0.06965512	0.02011770	0.00000000	0.06980421	0.24656394	0.49215003	0.06965955	0.04280873	0.32944815	0.01488749	0.01474543	0.07066006	0.03626228	0.07266385	0.07183030	0.12708611	0.26555551	0.33735354	
macFas5	0.13607771	0.38308338	0.02375846	0.07023055	0.06980421	0.00000000	0.25362537	0.49928213	0.03512174	0.07299874	0.33461988	0.06963398	0.07012254	0.01572620	0.07183164	0.01254998	0.03598984	0.13433124	0.27192255	0.34431200	
micMur1	0.27791483	0.39217640	0.25445265	0.24670251	0.24656394	0.25362537	0.00000000	0.52948980	0.25361531	0.24902431	0.23012652	0.24611634	0.24697075	0.25410145	0.24894912	0.25614857	0.25507030	0.27615530	0.29144220	0.35504909	
mm10	0.52655006	0.64216047	0.50038740	0.49263877	0.49215003	0.49928213	0.52948980	0.00000000	0.50046602	0.49683754	0.59388202	0.49190516	0.49374608	0.49951128	0.49654225	0.50308004	0.50120455	0.52535731	0.55469321	0.60131529	
nasLar1	0.13525243	0.38104924	0.03668010	0.07053464	0.06965955	0.03512174	0.25361531	0.50046602	0.00000000	0.07302217	0.33187600	0.06995448	0.07022635	0.03598225	0.07192980	0.03997035	0.01483958	0.13413396	0.27159186	0.34384266	
nomLeu3	0.13133482	0.37894971	0.07323346	0.04346736	0.04280873	0.07299874	0.24902431	0.49683754	0.07302217	0.00000000	0.33054663	0.04276845	0.04332213	0.07364625	0.04455930	0.07623115	0.07463171	0.12956110	0.26733787	0.34046562	
otoGar3	0.35558535	0.46609065	0.33528163	0.32800168	0.32944815	0.33461988	0.23012652	0.59388202	0.33187600	0.33054663	0.00000000	0.32860502	0.32825463	0.33514655	0.33114808	0.33720276	0.33594131	0.35487999	0.36341128	0.42272659	
panPan1	0.12792195	0.37488967	0.06978515	0.02078295	0.01488749	0.06963398	0.24611634	0.49190516	0.06995448	0.04276845	0.32860502	0.00000000	0.00752698	0.07034352	0.03675042	0.07262803	0.07170702	0.12687236	0.26503181	0.33702900	
panTro4	0.12892145	0.37552048	0.07026802	0.02111947	0.01474543	0.07012254	0.24697075	0.49374608	0.07022635	0.04332213	0.32825463	0.00752698	0.00000000	0.07081041	0.03710676	0.07335132	0.07181393	0.12715311	0.26583912	0.33799745	
papAnu2	0.13655502	0.38334630	0.02457655	0.07095662	0.07066006	0.01572620	0.25410145	0.49951128	0.03598225	0.07364625	0.33514655	0.07034352	0.07081041	0.00000000	0.07253471	0.02146910	0.03686015	0.13483965	0.27230058	0.34462658	
ponAbe2	0.13062650	0.37852180	0.07210476	0.03752476	0.03626228	0.07183164	0.24894912	0.49654225	0.07192980	0.04455930	0.33114808	0.03675042	0.03710676	0.07253471	0.00000000	0.07505920	0.07368828	0.12900855	0.26764069	0.34033627	
rheMac3	0.13904470	0.38595910	0.02907662	0.07321815	0.07266385	0.01254998	0.25614857	0.50308004	0.03997035	0.07623115	0.33720276	0.07262803	0.07335132	0.02146910	0.07505920	0.00000000	0.04058251	0.13741074	0.27493648	0.34730253	
rhiRox1	0.13740349	0.38368575	0.03721396	0.07222653	0.07183030	0.03598984	0.25507030	0.50120455	0.01483958	0.07463171	0.33594131	0.07170702	0.07181393	0.03686015	0.07368828	0.04058251	0.00000000	0.13608654	0.27342296	0.34561201	
saiBol1	0.06961906	0.40608567	0.13498277	0.12725275	0.12708611	0.13433124	0.27615530	0.52535731	0.13413396	0.12956110	0.35487999	0.12687236	0.12715311	0.13483965	0.12900855	0.13741074	0.13608654	0.00000000	0.29296036	0.36688309	
tarSyr2	0.29496550	0.42248186	0.27266048	0.26521423	0.26555551	0.27192255	0.29144220	0.55469321	0.27159186	0.26733787	0.36341128	0.26503181	0.26583912	0.27230058	0.26764069	0.27493648	0.27342296	0.29296036	0.00000000	0.38503344	
tupBel1	0.36826718	0.46423738	0.34507877	0.33739915	0.33735354	0.34431200	0.35504909	0.60131529	0.34384266	0.34046562	0.42272659	0.33702900	0.33799745	0.34462658	0.34033627	0.34730253	0.34561201	0.36688309	0.38503344	0.00000000	
