	calJac3	canFam3	chlSab2	gorGor3	hg38	macFas5	micMur1	mm10	nasLar1	nomLeu3	otoGar3	panPan1	panTro4	papAnu2	ponAbe2	rheMac3	rhiRox1	saiBol1	tarSyr2	tupBel1
calJac3	0.00000000	0.30395628	0.11076144	0.10358311	0.10415020	0.10993214	0.22500960	0.39739315	0.10954959	0.10529962	0.26816998	0.10339912	0.10436761	0.11028298	0.10459223	0.10961100	0.11044038	0.05559721	0.23696990	0.28624830	
canFam3	0.30395628	0.00000000	0.28912846	0.28313377	0.28360071	0.28838339	0.28538146	0.44372997	0.28819018	0.28459501	0.32466862	0.28297408	0.28356631	0.28866337	0.28428406	0.28829419	0.28862426	0.30263712	0.30419053	0.32782054	
chlSab2	0.11076144	0.28912846	0.00000000	0.05747566	0.05755760	0.01838387	0.21024924	0.38224729	0.02935310	0.05918736	0.25506644	0.05722170	0.05794330	0.01903190	0.05835262	0.01917165	0.02933606	0.10942749	0.22297116	0.27187237	
gorGor3	0.10358311	0.28313377	0.05747566	0.00000000	0.01507738	0.05666174	0.20432784	0.37719948	0.05703845	0.03420545	0.24958050	0.01526289	0.01577522	0.05713111	0.02931399	0.05632450	0.05762211	0.10250582	0.21731010	0.26632849	
hg38	0.10415020	0.28360071	0.05755760	0.01507738	0.00000000	0.05696525	0.20444887	0.37701105	0.05690207	0.03425423	0.25041646	0.01070857	0.01104756	0.05752846	0.02900323	0.05639806	0.05781753	0.10282780	0.21780616	0.26642467	
macFas5	0.10993214	0.28838339	0.01838387	0.05666174	0.05696525	0.00000000	0.20941454	0.38138158	0.02774162	0.05838228	0.25430426	0.05642020	0.05716065	0.01130525	0.05752684	0.00521700	0.02791396	0.10849194	0.22220911	0.27111848	
micMur1	0.22500960	0.28538146	0.21024924	0.20432784	0.20444887	0.20941454	0.00000000	0.38629521	0.20978057	0.20512624	0.17764245	0.20397229	0.20463413	0.20970654	0.20504896	0.20930804	0.21003588	0.22359101	0.22375612	0.26743128	
mm10	0.39739315	0.44372997	0.38224729	0.37719948	0.37701105	0.38138158	0.38629521	0.00000000	0.38269157	0.37915456	0.41937479	0.37673668	0.37808948	0.38137492	0.37851384	0.38145895	0.38223058	0.39577650	0.40326131	0.42549547	
nasLar1	0.10954959	0.28819018	0.02935310	0.05703845	0.05690207	0.02774162	0.20978057	0.38269157	0.00000000	0.05849588	0.25364737	0.05679746	0.05726963	0.02836592	0.05770728	0.02840753	0.01036688	0.10855000	0.22224832	0.27110872	
nomLeu3	0.10529962	0.28459501	0.05918736	0.03420545	0.03425423	0.05838228	0.20512624	0.37915456	0.05849588	0.00000000	0.25046848	0.03390011	0.03459383	0.05881471	0.03490830	0.05813077	0.05908088	0.10381112	0.21806890	0.26756109	
otoGar3	0.26816998	0.32466862	0.25506644	0.24958050	0.25041646	0.25430426	0.17764245	0.41937479	0.25364737	0.25046848	0.00000000	0.24984966	0.24982722	0.25464567	0.25052310	0.25394301	0.25499543	0.26755204	0.26539141	0.30572675	
panPan1	0.10339912	0.28297408	0.05722170	0.01526289	0.01070857	0.05642020	0.20397229	0.37673668	0.05679746	0.03390011	0.24984966	0.00000000	0.00458735	0.05689684	0.02899764	0.05599842	0.05743407	0.10243336	0.21720055	0.26607955	
panTro4	0.10436761	0.28356631	0.05794330	0.01577522	0.01104756	0.05716065	0.20463413	0.37808948	0.05726963	0.03459383	0.24982722	0.00458735	0.00000000	0.05764703	0.02956877	0.05684375	0.05786667	0.10286703	0.21789007	0.26661359	
papAnu2	0.11028298	0.28866337	0.01903190	0.05713111	0.05752846	0.01130525	0.20970654	0.38137492	0.02836592	0.05881471	0.25464567	0.05689684	0.05764703	0.00000000	0.05800544	0.01231264	0.02853530	0.10885470	0.22242142	0.27125436	
ponAbe2	0.10459223	0.28428406	0.05835262	0.02931399	0.02900323	0.05752684	0.20504896	0.37851384	0.05770728	0.03490830	0.25052310	0.02899764	0.02956877	0.05800544	0.00000000	0.05721371	0.05835957	0.10330675	0.21808224	0.26719400	
rheMac3	0.10961100	0.28829419	0.01917165	0.05632450	0.05639806	0.00521700	0.20930804	0.38145895	0.02840753	0.05813077	0.25394301	0.05599842	0.05684375	0.01231264	0.05721371	0.00000000	0.02838752	0.10830167	0.22182146	0.27083951	
rhiRox1	0.11044038	0.28862426	0.02933606	0.05762211	0.05781753	0.02791396	0.21003588	0.38223058	0.01036688	0.05908088	0.25499543	0.05743407	0.05786667	0.02853530	0.05835957	0.02838752	0.00000000	0.10935372	0.22275218	0.27164714	
saiBol1	0.05559721	0.30263712	0.10942749	0.10250582	0.10282780	0.10849194	0.22359101	0.39577650	0.10855000	0.10381112	0.26755204	0.10243336	0.10286703	0.10885470	0.10330675	0.10830167	0.10935372	0.00000000	0.23535961	0.28493241	
tarSyr2	0.23696990	0.30419053	0.22297116	0.21731010	0.21780616	0.22220911	0.22375612	0.40326131	0.22224832	0.21806890	0.26539141	0.21720055	0.21789007	0.22242142	0.21808224	0.22182146	0.22275218	0.23535961	0.00000000	0.28721475	
tupBel1	0.28624830	0.32782054	0.27187237	0.26632849	0.26642467	0.27111848	0.26743128	0.42549547	0.27110872	0.26756109	0.30572675	0.26607955	0.26661359	0.27125436	0.26719400	0.27083951	0.27164714	0.28493241	0.28721475	0.00000000	
