	calJac3	canFam3	chlSab2	gorGor3	hg38	macFas5	micMur1	mm10	nasLar1	nomLeu3	otoGar3	panPan1	panTro4	papAnu2	ponAbe2	rheMac3	rhiRox1	saiBol1	tarSyr2	tupBel1
calJac3	0.00000000	0.33794126	0.13672963	0.12976679	0.12979478	0.13629710	0.26083249	0.39747629	0.13563659	0.13255555	0.31420301	0.12946384	0.13001135	0.13702453	0.13143157	0.13775022	0.13849778	0.07532108	0.27297086	0.31951709	
canFam3	0.33794126	0.00000000	0.32172575	0.31693523	0.31707988	0.32130605	0.33726840	0.45457148	0.32103570	0.31933552	0.38000427	0.31705801	0.31715664	0.32172469	0.31899019	0.32271641	0.32290629	0.33649081	0.35906714	0.37791076	
chlSab2	0.13672963	0.32172575	0.00000000	0.07492543	0.07381961	0.02829334	0.24259415	0.38216605	0.04005664	0.07762169	0.29892165	0.07415823	0.07440647	0.02939659	0.07609168	0.03151495	0.04110987	0.13507634	0.25519532	0.30361604	
gorGor3	0.12976679	0.31693523	0.07492543	0.00000000	0.02260612	0.07464426	0.23717638	0.37843443	0.07512499	0.04928131	0.29391294	0.02292176	0.02282632	0.07557532	0.04231077	0.07582998	0.07739595	0.12811732	0.25014993	0.29884787	
hg38	0.12979478	0.31707988	0.07381961	0.02260612	0.00000000	0.07409606	0.23672136	0.37758438	0.07407409	0.04841833	0.29445867	0.01778348	0.01754339	0.07506010	0.04090910	0.07508740	0.07650882	0.12781248	0.25008262	0.29862066	
macFas5	0.13629710	0.32130605	0.02829334	0.07464426	0.07409606	0.00000000	0.24215732	0.38146529	0.03858143	0.07755494	0.29862698	0.07392737	0.07453591	0.01934971	0.07591851	0.01042775	0.03985116	0.13443344	0.25460373	0.30307102	
micMur1	0.26083249	0.33726840	0.24259415	0.23717638	0.23672136	0.24215732	0.00000000	0.40980541	0.24294511	0.23928487	0.22679709	0.23699047	0.23689746	0.24269372	0.23869492	0.24357878	0.24424020	0.25974231	0.28387301	0.32354467	
mm10	0.39747629	0.45457148	0.38216605	0.37843443	0.37758438	0.38146529	0.40980541	0.00000000	0.38254771	0.38078136	0.44029182	0.37811010	0.37797723	0.38185263	0.38022298	0.38326721	0.38309834	0.39679551	0.42207310	0.44044791	
nasLar1	0.13563659	0.32103570	0.04005664	0.07512499	0.07407409	0.03858143	0.24294511	0.38254771	0.00000000	0.07761752	0.29748352	0.07446860	0.07450226	0.03962321	0.07613869	0.04130914	0.01654336	0.13439829	0.25484471	0.30384318	
nomLeu3	0.13255555	0.31933552	0.07762169	0.04928131	0.04841833	0.07755494	0.23928487	0.38078136	0.07761752	0.00000000	0.29642848	0.04822121	0.04864810	0.07846271	0.04977195	0.07883639	0.07999626	0.13074183	0.25237234	0.30115332	
otoGar3	0.31420301	0.38000427	0.29892165	0.29391294	0.29445867	0.29862698	0.22679709	0.44029182	0.29748352	0.29642848	0.00000000	0.29447580	0.29450807	0.29899440	0.29605536	0.29990708	0.30055294	0.31319036	0.33248428	0.36326345	
panPan1	0.12946384	0.31705801	0.07415823	0.02292176	0.01778348	0.07392737	0.23699047	0.37811010	0.07446860	0.04822121	0.29447580	0.00000000	0.00807468	0.07485189	0.04137897	0.07529542	0.07671142	0.12791021	0.25011766	0.29885512	
panTro4	0.13001135	0.31715664	0.07440647	0.02282632	0.01754339	0.07453591	0.23689746	0.37797723	0.07450226	0.04864810	0.29450807	0.00807468	0.00000000	0.07546295	0.04155003	0.07563516	0.07684098	0.12798847	0.24990380	0.29889115	
papAnu2	0.13702453	0.32172469	0.02939659	0.07557532	0.07506010	0.01934971	0.24269372	0.38185263	0.03962321	0.07846271	0.29899440	0.07485189	0.07546295	0.00000000	0.07690470	0.02304622	0.04094476	0.13518886	0.25516656	0.30358940	
ponAbe2	0.13143157	0.31899019	0.07609168	0.04231077	0.04090910	0.07591851	0.23869492	0.38022298	0.07613869	0.04977195	0.29605536	0.04137897	0.04155003	0.07690470	0.00000000	0.07734732	0.07846636	0.12960082	0.25164785	0.30080552	
rheMac3	0.13775022	0.32271641	0.03151495	0.07582998	0.07508740	0.01042775	0.24357878	0.38326721	0.04130914	0.07883639	0.29990708	0.07529542	0.07563516	0.02304622	0.07734732	0.00000000	0.04264227	0.13607682	0.25606501	0.30449190	
rhiRox1	0.13849778	0.32290629	0.04110987	0.07739595	0.07650882	0.03985116	0.24424020	0.38309834	0.01654336	0.07999626	0.30055294	0.07671142	0.07684098	0.04094476	0.07846636	0.04264227	0.00000000	0.13709806	0.25672299	0.30486139	
saiBol1	0.07532108	0.33649081	0.13507634	0.12811732	0.12781248	0.13443344	0.25974231	0.39679551	0.13439829	0.13074183	0.31319036	0.12791021	0.12798847	0.13518886	0.12960082	0.13607682	0.13709806	0.00000000	0.27201095	0.31853289	
tarSyr2	0.27297086	0.35906714	0.25519532	0.25014993	0.25008262	0.25460373	0.28387301	0.42207310	0.25484471	0.25237234	0.33248428	0.25011766	0.24990380	0.25516656	0.25164785	0.25606501	0.25672299	0.27201095	0.00000000	0.34083421	
tupBel1	0.31951709	0.37791076	0.30361604	0.29884787	0.29862066	0.30307102	0.32354467	0.44044791	0.30384318	0.30115332	0.36326345	0.29885512	0.29889115	0.30358940	0.30080552	0.30449190	0.30486139	0.31853289	0.34083421	0.00000000	
