	calJac3	canFam3	chlSab2	gorGor3	hg38	macFas5	micMur1	mm10	nasLar1	nomLeu3	otoGar3	panPan1	panTro4	papAnu2	ponAbe2	rheMac3	rhiRox1	saiBol1	tarSyr2	tupBel1
calJac3	0.00000000	0.28152986	0.12426725	0.11746060	0.11840320	0.12342143	0.23494383	0.33130478	0.12291037	0.11922083	0.25890719	0.11747048	0.11824574	0.12390379	0.11853306	0.12274915	0.12491749	0.06953286	0.23577486	0.27428304	
canFam3	0.28152986	0.00000000	0.27060752	0.26666280	0.26579141	0.26971105	0.28014280	0.36410651	0.27100417	0.26735893	0.30067791	0.26642029	0.26570431	0.26996645	0.26685640	0.27019845	0.27141687	0.28209666	0.29070025	0.30586763	
chlSab2	0.12426725	0.27060752	0.00000000	0.07020317	0.07031239	0.02760786	0.22389216	0.32080647	0.03864230	0.07221389	0.24866455	0.06960066	0.07034536	0.02869722	0.07086614	0.02800754	0.03915279	0.12458321	0.22432679	0.26398410	
gorGor3	0.11746060	0.26666280	0.07020317	0.00000000	0.01949827	0.06980227	0.21909207	0.31780915	0.07012175	0.04461625	0.24392298	0.01931878	0.01996070	0.07041321	0.03890485	0.06871255	0.07152458	0.11782606	0.21938837	0.25964577	
hg38	0.11840320	0.26579141	0.07031239	0.01949827	0.00000000	0.07066159	0.21870583	0.31644839	0.07001167	0.04525917	0.24420657	0.01488190	0.01639223	0.07149163	0.03884014	0.06886904	0.07172654	0.11828228	0.21968265	0.25952751	
macFas5	0.12342143	0.26971105	0.02760786	0.06980227	0.07066159	0.00000000	0.22292100	0.32028961	0.03682361	0.07186686	0.24787388	0.06918900	0.07050879	0.01921116	0.07065355	0.00705525	0.03782381	0.12349873	0.22340612	0.26320948	
micMur1	0.23494383	0.28014280	0.22389216	0.21909207	0.21870583	0.22292100	0.00000000	0.33794664	0.22406540	0.21974494	0.19230809	0.21882309	0.21861156	0.22335948	0.21934594	0.22313595	0.22433107	0.23520988	0.23862879	0.27438099	
mm10	0.33130478	0.36410651	0.32080647	0.31780915	0.31644839	0.32028961	0.33794664	0.00000000	0.32181462	0.31889315	0.35126941	0.31766498	0.31689620	0.32027833	0.31826770	0.32141776	0.32159768	0.33223348	0.34295178	0.35767683	
nasLar1	0.12291037	0.27100417	0.03864230	0.07012175	0.07001167	0.03682361	0.22406540	0.32181462	0.00000000	0.07151418	0.24727337	0.06960400	0.07002245	0.03787797	0.07046171	0.03725654	0.01561436	0.12349803	0.22347550	0.26346975	
nomLeu3	0.11922083	0.26735893	0.07221389	0.04461625	0.04525917	0.07186686	0.21974494	0.31889315	0.07151418	0.00000000	0.24476315	0.04369572	0.04479646	0.07269920	0.04553667	0.07075997	0.07324812	0.11920308	0.22011594	0.26064006	
otoGar3	0.25890719	0.30067791	0.24866455	0.24392298	0.24420657	0.24787388	0.19230809	0.35126941	0.24727337	0.24476315	0.00000000	0.24404510	0.24389766	0.24811718	0.24482937	0.24790265	0.24907195	0.25935326	0.26364966	0.29264084	
panPan1	0.11747048	0.26642029	0.06960066	0.01931878	0.01488190	0.06918900	0.21882309	0.31766498	0.06960400	0.04369572	0.24404510	0.00000000	0.00617625	0.06997630	0.03797461	0.06825362	0.07102393	0.11768020	0.21916971	0.25949510	
panTro4	0.11824574	0.26570431	0.07034536	0.01996070	0.01639223	0.07050879	0.21861156	0.31689620	0.07002245	0.04479646	0.24389766	0.00617625	0.00000000	0.07130473	0.03885156	0.06897765	0.07162447	0.11813371	0.21920820	0.25935697	
papAnu2	0.12390379	0.26996645	0.02869722	0.07041321	0.07149163	0.01921116	0.22335948	0.32027833	0.03787797	0.07269920	0.24811718	0.06997630	0.07130473	0.00000000	0.07134310	0.01978949	0.03866473	0.12418889	0.22372318	0.26364040	
ponAbe2	0.11853306	0.26685640	0.07086614	0.03890485	0.03884014	0.07065355	0.21934594	0.31826770	0.07046171	0.04553667	0.24482937	0.03797461	0.03885156	0.07134310	0.00000000	0.06942589	0.07204235	0.11852842	0.21986814	0.26034537	
rheMac3	0.12274915	0.27019845	0.02800754	0.06871255	0.06886904	0.00705525	0.22313595	0.32141776	0.03725654	0.07075997	0.24790265	0.06825362	0.06897765	0.01978949	0.06942589	0.00000000	0.03771531	0.12311113	0.22314936	0.26331645	
rhiRox1	0.12491749	0.27141687	0.03915279	0.07152458	0.07172654	0.03782381	0.22433107	0.32159768	0.01561436	0.07324812	0.24907195	0.07102393	0.07162447	0.03866473	0.07204235	0.03771531	0.00000000	0.12531702	0.22444971	0.26427982	
saiBol1	0.06953286	0.28209666	0.12458321	0.11782606	0.11828228	0.12349873	0.23520988	0.33223348	0.12349803	0.11920308	0.25935326	0.11768020	0.11813371	0.12418889	0.11852842	0.12311113	0.12531702	0.00000000	0.23584874	0.27426149	
tarSyr2	0.23577486	0.29070025	0.22432679	0.21938837	0.21968265	0.22340612	0.23862879	0.34295178	0.22347550	0.22011594	0.26364966	0.21916971	0.21920820	0.22372318	0.21986814	0.22314936	0.22444971	0.23584874	0.00000000	0.28245294	
tupBel1	0.27428304	0.30586763	0.26398410	0.25964577	0.25952751	0.26320948	0.27438099	0.35767683	0.26346975	0.26064006	0.29264084	0.25949510	0.25935697	0.26364040	0.26034537	0.26331645	0.26427982	0.27426149	0.28245294	0.00000000	
