	calJac3	canFam3	chlSab2	gorGor3	hg38	macFas5	micMur1	mm10	nasLar1	nomLeu3	otoGar3	panPan1	panTro4	papAnu2	ponAbe2	rheMac3	rhiRox1	saiBol1	tarSyr2	tupBel1
calJac3	0.00000000	0.27479389	0.13750497	0.11759290	0.15172943	0.11335709	0.24341836	0.30002952	0.18336235	0.10817747	0.33069523	0.11216715	0.14928626	0.11416450	0.10762323	0.11256014	0.18321167	0.07291257	0.25946756	0.28390485	
canFam3	0.27479389	0.00000000	0.28136474	0.27043590	0.28487534	0.26421152	0.29928217	0.32234915	0.30873352	0.26117132	0.37308170	0.27698916	0.28450034	0.26514962	0.26532187	0.26757474	0.30223236	0.31144902	0.31459735	0.31990346	
chlSab2	0.13750497	0.28136474	0.00000000	0.07500661	0.09942845	0.05568458	0.23489660	0.30434385	0.09807244	0.08617665	0.31857218	0.07662791	0.09781639	0.05642711	0.07630154	0.03913366	0.06964568	0.14546482	0.25337853	0.27187107	
gorGor3	0.11759290	0.27043590	0.07500661	0.00000000	0.07231910	0.07215348	0.20855211	0.30996483	0.08472268	0.06944593	0.24268419	0.04549229	0.05460470	0.07347731	0.03860670	0.07031428	0.09767060	0.13013513	0.23476750	0.24740655	
hg38	0.15172943	0.28487534	0.09942845	0.07231910	0.00000000	0.11676892	0.24200404	0.30598464	0.13637923	0.09706872	0.30890510	0.08111810	0.02855929	0.11726609	0.07385348	0.09614295	0.11121075	0.15812010	0.25923587	0.27082215	
macFas5	0.11335709	0.26421152	0.05568458	0.07215348	0.11676892	0.00000000	0.23287431	0.28925325	0.08811533	0.07071634	0.31867768	0.07013725	0.11157074	0.02263031	0.06577222	0.00897877	0.10394640	0.13439877	0.24490124	0.26845019	
micMur1	0.24341836	0.29928217	0.23489660	0.20855211	0.24200404	0.23287431	0.00000000	0.29169412	0.25459557	0.22867283	0.24073375	0.20843623	0.24382547	0.23305903	0.22550826	0.23002596	0.25982117	0.25747726	0.25792615	0.27387726	
mm10	0.30002952	0.32234915	0.30434385	0.30996483	0.30598464	0.28925325	0.29169412	0.00000000	0.34095408	0.28894855	0.39225029	0.31052436	0.30547582	0.28924407	0.29221030	0.29307541	0.30219586	0.32082840	0.32063368	0.31902763	
nasLar1	0.18336235	0.30873352	0.09807244	0.08472268	0.13637923	0.08811533	0.25459557	0.34095408	0.00000000	0.11459523	0.30315648	0.07137692	0.13195801	0.08888394	0.09434633	0.06204276	0.05770001	0.13389674	0.25849098	0.27038090	
nomLeu3	0.10817747	0.26117132	0.08617665	0.06944593	0.09706872	0.07071634	0.22867283	0.28894855	0.11459523	0.00000000	0.31704407	0.07684203	0.09124735	0.07225783	0.04101350	0.06358654	0.12809325	0.13168122	0.24600772	0.26454789	
otoGar3	0.33069523	0.37308170	0.31857218	0.24268419	0.30890510	0.31867768	0.24073375	0.39225029	0.30315648	0.31704407	0.00000000	0.24785024	0.31011604	0.31839291	0.31466619	0.31482412	0.30795261	0.29697704	0.30495830	0.31447306	
panPan1	0.11216715	0.27698916	0.07662791	0.04549229	0.08111810	0.07013725	0.20843623	0.31052436	0.07137692	0.07684203	0.24785024	0.00000000	0.07053650	0.07103419	0.04391738	0.06744912	0.07503997	0.11382911	0.22369774	0.22803231	
panTro4	0.14928626	0.28450034	0.09781639	0.05460470	0.02855929	0.11157074	0.24382547	0.30547582	0.13195801	0.09124735	0.31011604	0.07053650	0.00000000	0.11211253	0.07408192	0.09499570	0.10830070	0.15655780	0.25537015	0.27164641	
papAnu2	0.11416450	0.26514962	0.05642711	0.07347731	0.11726609	0.02263031	0.23305903	0.28924407	0.08888394	0.07225783	0.31839291	0.07103419	0.11211253	0.00000000	0.06724686	0.01817021	0.10418800	0.13347673	0.24543540	0.26901822	
ponAbe2	0.10762323	0.26532187	0.07630154	0.03860670	0.07385348	0.06577222	0.22550826	0.29221030	0.09434633	0.04101350	0.31466619	0.04391738	0.07408192	0.06724686	0.00000000	0.06473164	0.09728075	0.12593998	0.23645579	0.26367712	
rheMac3	0.11256014	0.26757474	0.03913366	0.07031428	0.09614295	0.00897877	0.23002596	0.29307541	0.06204276	0.06358654	0.31482412	0.06744912	0.09499570	0.01817021	0.06473164	0.00000000	0.06970993	0.12718270	0.24070742	0.26679682	
rhiRox1	0.18321167	0.30223236	0.06964568	0.09767060	0.11121075	0.10394640	0.25982117	0.30219586	0.05770001	0.12809325	0.30795261	0.07503997	0.10830070	0.10418800	0.09728075	0.06970993	0.00000000	0.15122044	0.25388879	0.29130996	
saiBol1	0.07291257	0.31144902	0.14546482	0.13013513	0.15812010	0.13439877	0.25747726	0.32082840	0.13389674	0.13168122	0.29697704	0.11382911	0.15655780	0.13347673	0.12593998	0.12718270	0.15122044	0.00000000	0.25186746	0.28038746	
tarSyr2	0.25946756	0.31459735	0.25337853	0.23476750	0.25923587	0.24490124	0.25792615	0.32063368	0.25849098	0.24600772	0.30495830	0.22369774	0.25537015	0.24543540	0.23645579	0.24070742	0.25388879	0.25186746	0.00000000	0.27490369	
tupBel1	0.28390485	0.31990346	0.27187107	0.24740655	0.27082215	0.26845019	0.27387726	0.31902763	0.27038090	0.26454789	0.31447306	0.22803231	0.27164641	0.26901822	0.26367712	0.26679682	0.29130996	0.28038746	0.27490369	0.00000000	
