	canFam2	hg17	mm6	rn3
canFam2	0.00000000	0.29450686	0.40522587	0.40784295	
hg17	0.29450686	0.00000000	0.38779903	0.39133038	
mm6	0.40522587	0.38779903	0.00000000	0.13376413	
rn3	0.40784295	0.39133038	0.13376413	0.00000000	
