	calJac3	canFam3	chlSab2	gorGor3	hg38	macFas5	micMur1	mm10	nasLar1	nomLeu3	otoGar3	panPan1	panTro4	papAnu2	ponAbe2	rheMac3	rhiRox1	saiBol1	tarSyr2	tupBel1
calJac3	0.00000000	0.52251323	0.20576904	0.17397955	0.23010928	0.16781299	0.41863097	0.56620590	0.28664640	0.16137192	0.00000000	0.16952104	0.22655701	0.16873946	0.15736669	0.16705698	0.29185388	0.10533164	0.44201083	0.53119397	
canFam3	0.52251323	0.00000000	0.52586205	0.00000000	0.53348679	0.48754652	0.60533643	0.70215030	0.59231227	0.48583047	0.00000000	0.00000000	0.53388176	0.48981031	0.48823520	0.49062906	0.61798668	0.00000000	0.66459288	0.66805600	
chlSab2	0.20576904	0.52586205	0.00000000	0.10657953	0.13726805	0.08342799	0.39717613	0.56493539	0.14243803	0.12361055	nan	0.11598435	0.13540064	0.08413900	0.10573305	0.05954571	0.10083771	0.22150465	0.42957717	0.49071929	
gorGor3	0.17397955	0.00000000	0.10657953	0.00000000	0.11577483	0.10540482	0.00000000	0.00000000	0.12212512	0.11698020	0.00000000	0.06761414	0.08623506	0.10599676	0.05604251	0.10601417	0.14239444	0.18721998	0.37364153	0.00000000	
hg38	0.23010928	0.53348679	0.13726805	0.11577483	0.00000000	0.17042457	0.41628262	0.56556794	0.19792856	0.14866296	0.59983073	0.14199341	0.03869493	0.17168571	0.10202477	0.13587941	0.16418446	0.24219797	0.44107716	0.48733045	
macFas5	0.16781299	0.48754652	0.08342799	0.10540482	0.17042457	0.00000000	0.39455893	0.53198086	0.13363491	0.10281667	0.63511670	0.11377822	0.16252020	0.03412632	0.09314837	0.01937239	0.17050082	0.21078666	0.41157283	0.48413319	
micMur1	0.41863097	0.60533643	0.39717613	0.00000000	0.41628262	0.39455893	0.00000000	0.60719089	0.00000000	0.39033030	0.00000000	0.00000000	0.42047371	0.39250266	0.37954419	0.38768558	0.00000000	0.00000000	0.00000000	0.48554530	
mm10	0.56620590	0.70215030	0.56493539	0.00000000	0.56556794	0.53198086	0.60719089	0.00000000	0.59543976	0.53438131	0.00000000	0.00000000	0.56800336	0.53150981	0.53634310	0.54288445	0.58451651	0.00000000	0.61079030	0.61979638	
nasLar1	0.28664640	0.59231227	0.14243803	0.12212512	0.19792856	0.13363491	0.00000000	0.59543976	0.00000000	0.17490419	0.00000000	0.10383806	0.19370377	0.13521234	0.14040295	0.08968880	0.08600235	0.19579807	0.42510598	0.00000000	
nomLeu3	0.16137192	0.48583047	0.12361055	0.11698020	0.14866296	0.10281667	0.39033030	0.53438131	0.17490419	0.00000000	0.64817079	0.12421920	0.13630061	0.10511361	0.05834001	0.09290025	0.20681937	0.21489649	0.43425660	0.48383341	
otoGar3	0.00000000	0.00000000	nan	0.00000000	0.59983073	0.63511670	0.00000000	0.00000000	0.00000000	0.64817079	0.00000000	0.00000000	0.60531041	0.63613264	0.62843095	0.62067706	0.00000000	0.00000000	0.00000000	0.00000000	
panPan1	0.16952104	0.00000000	0.11598435	0.06761414	0.14199341	0.11377822	0.00000000	0.00000000	0.10383806	0.12421920	0.00000000	0.00000000	0.12809350	0.11602353	0.06661170	0.10338590	0.11099040	0.16250468	nan	0.00000000	
panTro4	0.22655701	0.53388176	0.13540064	0.08623506	0.03869493	0.16252020	0.42047371	0.56800336	0.19370377	0.13630061	0.60531041	0.12809350	0.00000000	0.16357667	0.10278601	0.13478860	0.16122119	0.24152863	0.42925138	0.49096256	
papAnu2	0.16873946	0.48981031	0.08413900	0.10599676	0.17168571	0.03412632	0.39250266	0.53150981	0.13521234	0.10511361	0.63613264	0.11602353	0.16357667	0.00000000	0.09601193	0.03200484	0.17043950	0.20814218	0.40886075	0.48459108	
ponAbe2	0.15736669	0.48823520	0.10573305	0.05604251	0.10202477	0.09314837	0.37954419	0.53634310	0.14040295	0.05834001	0.62843095	0.06661170	0.10278601	0.09601193	0.00000000	0.09378225	0.14458634	0.19539180	0.39177690	0.47830417	
rheMac3	0.16705698	0.49062906	0.05954571	0.10601417	0.13587941	0.01937239	0.38768558	0.54288445	0.08968880	0.09290025	0.62067706	0.10338590	0.13478860	0.03200484	0.09378225	0.00000000	0.10574734	0.19506002	0.40293627	0.49459693	
rhiRox1	0.29185388	0.61798668	0.10083771	0.14239444	0.16418446	0.17050082	0.00000000	0.58451651	0.08600235	0.20681937	0.00000000	0.11099040	0.16122119	0.17043950	0.14458634	0.10574734	0.00000000	0.22878856	0.43904169	0.51879736	
saiBol1	0.10533164	0.00000000	0.22150465	0.18721998	0.24219797	0.21078666	0.00000000	0.00000000	0.19579807	0.21489649	0.00000000	0.16250468	0.24152863	0.20814218	0.19539180	0.19506002	0.22878856	0.00000000	0.39924307	0.00000000	
tarSyr2	0.44201083	0.66459288	0.42957717	0.37364153	0.44107716	0.41157283	0.00000000	0.61079030	0.42510598	0.43425660	0.00000000	nan	0.42925138	0.40886075	0.39177690	0.40293627	0.43904169	0.39924307	0.00000000	nan	
tupBel1	0.53119397	0.66805600	0.49071929	0.00000000	0.48733045	0.48413319	0.48554530	0.61979638	0.00000000	0.48383341	0.00000000	0.00000000	0.49096256	0.48459108	0.47830417	0.49459693	0.51879736	0.00000000	nan	0.00000000	
