	calJac3	canFam3	chlSab2	gorGor3	hg38	macFas5	micMur1	mm10	nasLar1	nomLeu3	otoGar3	panPan1	panTro4	papAnu2	ponAbe2	rheMac3	rhiRox1	saiBol1	tarSyr2	tupBel1
calJac3	0.00000000	0.27617777	0.13874259	0.11979309	0.15356332	0.11469181	0.24674200	0.30335089	0.18417650	0.10946196	0.33256762	0.11452697	0.15109178	0.11551147	0.10881950	0.11376423	0.18568830	0.07383124	0.26141589	0.28713141	
canFam3	0.27617777	0.00000000	0.28354432	0.27431977	0.28735970	0.26592007	0.30049436	0.32444617	0.31244418	0.26284087	0.37443138	0.28115061	0.28687761	0.26684818	0.26701951	0.26908666	0.30621013	0.31572780	0.31650020	0.32260838	
chlSab2	0.13874259	0.28354432	0.00000000	0.07687553	0.10068956	0.05654116	0.23829942	0.30813666	0.09814869	0.08786661	0.32083870	0.07826580	0.09907099	0.05732750	0.07761433	0.04003550	0.07046008	0.14758316	0.25575655	0.27493042	
gorGor3	0.11979309	0.27431977	0.07687553	0.00000000	0.07434409	0.07429080	0.21334656	0.31164483	0.08664469	0.07002477	0.24828006	0.04609323	0.05676340	0.07559617	0.03958341	0.07213056	0.09926390	0.13220865	0.23915679	0.25320545	
hg38	0.15356332	0.28735970	0.10068956	0.07434409	0.00000000	0.11884932	0.24526639	0.31000925	0.13774945	0.09929328	0.31163974	0.08324657	0.02877892	0.11939853	0.07580534	0.09838145	0.11227398	0.16027529	0.26139159	0.27419669	
macFas5	0.11469181	0.26592007	0.05654116	0.07429080	0.11884932	0.00000000	0.23602271	0.29297806	0.08871165	0.07151077	0.32138650	0.07210226	0.11379165	0.02269271	0.06672550	0.00917513	0.10668998	0.13662387	0.24748393	0.27155834	
micMur1	0.24674200	0.30049436	0.23829942	0.21334656	0.24526639	0.23602271	0.00000000	0.29620393	0.25924971	0.23158172	0.24284295	0.21455001	0.24722530	0.23624493	0.22828917	0.23292356	0.26351741	0.26168505	0.25995190	0.27953444	
mm10	0.30335089	0.32444617	0.30813666	0.31164483	0.31000925	0.29297806	0.29620393	0.00000000	0.34382979	0.29260051	0.39508389	0.31322506	0.30937030	0.29302359	0.29568356	0.29637736	0.30864254	0.32452519	0.32599411	0.32328302	
nasLar1	0.18417650	0.31244418	0.09814869	0.08664469	0.13774945	0.08871165	0.25924971	0.34382979	0.00000000	0.11689753	0.30629648	0.07298842	0.13333061	0.08955228	0.09644418	0.06309630	0.05796191	0.13574894	0.26127286	0.27551806	
nomLeu3	0.10946196	0.26284087	0.08786661	0.07002477	0.09929328	0.07151077	0.23158172	0.29260051	0.11689753	0.00000000	0.31949030	0.07641921	0.09372185	0.07306458	0.04158187	0.06445237	0.13184141	0.13419600	0.24822559	0.26781288	
otoGar3	0.33256762	0.37443138	0.32083870	0.24828006	0.31163974	0.32138650	0.24284295	0.39508389	0.30629648	0.31949030	0.00000000	0.25440028	0.31320809	0.32125215	0.31732932	0.31686326	0.31142950	0.30141072	0.30745130	0.31906891	
panPan1	0.11452697	0.28115061	0.07826580	0.04609323	0.08324657	0.07210226	0.21455001	0.31322506	0.07298842	0.07641921	0.25440028	0.00000000	0.07231386	0.07301982	0.04477873	0.06898351	0.07747867	0.11557092	0.22601594	0.23266536	
panTro4	0.15109178	0.28687761	0.09907099	0.05676340	0.02877892	0.11379165	0.24722530	0.30937030	0.13333061	0.09372185	0.31320809	0.07231386	0.00000000	0.11436595	0.07600341	0.09720383	0.10940025	0.15868811	0.25808730	0.27505523	
papAnu2	0.11551147	0.26684818	0.05732750	0.07559617	0.11939853	0.02269271	0.23624493	0.29302359	0.08955228	0.07306458	0.32125215	0.07301982	0.11436595	0.00000000	0.06821997	0.01849852	0.10699886	0.13595247	0.24805063	0.27194753	
ponAbe2	0.10881950	0.26701951	0.07761433	0.03958341	0.07580534	0.06672550	0.22828917	0.29568356	0.09644418	0.04158187	0.31732932	0.04477873	0.07600341	0.06821997	0.00000000	0.06566274	0.09949901	0.12765868	0.23867918	0.26645533	
rheMac3	0.11376423	0.26908666	0.04003550	0.07213056	0.09838145	0.00917513	0.23292356	0.29637736	0.06309630	0.06445237	0.31686326	0.06898351	0.09720383	0.01849852	0.06566274	0.00000000	0.07172565	0.12906938	0.24290721	0.26956109	
rhiRox1	0.18568830	0.30621013	0.07046008	0.09926390	0.11227398	0.10668998	0.26351741	0.30864254	0.05796191	0.13184141	0.31142950	0.07747867	0.10940025	0.10699886	0.09949901	0.07172565	0.00000000	0.15313219	0.25674381	0.29606878	
saiBol1	0.07383124	0.31572780	0.14758316	0.13220865	0.16027529	0.13662387	0.26168505	0.32452519	0.13574894	0.13419600	0.30141072	0.11557092	0.15868811	0.13595247	0.12765868	0.12906938	0.15313219	0.00000000	0.25386035	0.28676912	
tarSyr2	0.26141589	0.31650020	0.25575655	0.23915679	0.26139159	0.24748393	0.25995190	0.32599411	0.26127286	0.24822559	0.30745130	0.22601594	0.25808730	0.24805063	0.23867918	0.24290721	0.25674381	0.25386035	0.00000000	0.27880570	
tupBel1	0.28713141	0.32260838	0.27493042	0.25320545	0.27419669	0.27155834	0.27953444	0.32328302	0.27551806	0.26781288	0.31906891	0.23266536	0.27505523	0.27194753	0.26645533	0.26956109	0.29606878	0.28676912	0.27880570	0.00000000	
