	calJac3	canFam3	chlSab2	gorGor3	hg38	macFas5	micMur1	mm10	nasLar1	nomLeu3	otoGar3	panPan1	panTro4	papAnu2	ponAbe2	rheMac3	rhiRox1	saiBol1	tarSyr2	tupBel1
calJac3	0.00000000	0.24128088	0.09994536	0.09390903	0.09441969	0.09921680	0.18564764	0.29835899	0.09883720	0.09544494	0.21640952	0.09372619	0.09455701	0.09950658	0.09485835	0.09893702	0.09962748	0.05226538	0.19524163	0.22875335	
canFam3	0.24128088	0.00000000	0.23121022	0.22728333	0.22761298	0.23070128	0.22927896	0.32547440	0.23066546	0.22830349	0.25530017	0.22711583	0.22760442	0.23086988	0.22807282	0.23070935	0.23083367	0.24018735	0.24238563	0.25712569	
chlSab2	0.09994536	0.23121022	0.00000000	0.05377793	0.05386403	0.01765747	0.17442590	0.28939920	0.02799279	0.05537852	0.20698492	0.05353432	0.05415555	0.01827240	0.05463526	0.01847640	0.02796993	0.09869264	0.18488713	0.21872396	
gorGor3	0.09390903	0.22728333	0.05377793	0.00000000	0.01451900	0.05298232	0.17017147	0.28657186	0.05329563	0.03261551	0.20327253	0.01468268	0.01519896	0.05338573	0.02807870	0.05267831	0.05388103	0.09287361	0.18088556	0.21497891	
hg38	0.09441969	0.22761298	0.05386403	0.01451900	0.00000000	0.05327013	0.17027104	0.28644808	0.05315961	0.03260497	0.20383537	0.01032720	0.01070342	0.05373551	0.02779479	0.05275473	0.05406614	0.09315926	0.18121654	0.21502246	
macFas5	0.09921680	0.23070128	0.01765747	0.05298232	0.05327013	0.00000000	0.17381838	0.28889546	0.02642875	0.05459929	0.20648951	0.05275469	0.05339510	0.01085392	0.05384066	0.00510260	0.02659256	0.09786055	0.18428723	0.21817774	
micMur1	0.18564764	0.22927896	0.17442590	0.17017147	0.17027104	0.17381838	0.00000000	0.29194559	0.17416239	0.17085089	0.15246883	0.16989997	0.17044749	0.17401878	0.17076562	0.17378395	0.17428843	0.18451255	0.18612605	0.21631552	
mm10	0.29835899	0.32547440	0.28939920	0.28657186	0.28644808	0.28889546	0.29194559	0.00000000	0.28973521	0.28766272	0.31129451	0.28623732	0.28715200	0.28890532	0.28732364	0.28902357	0.28937002	0.29729124	0.30237102	0.31475722	
nasLar1	0.09883720	0.23066546	0.02799279	0.05329563	0.05315961	0.02642875	0.17416239	0.28973521	0.00000000	0.05466742	0.20602783	0.05304891	0.05344898	0.02701554	0.05397082	0.02711965	0.01000443	0.09789592	0.18441737	0.21832453	
nomLeu3	0.09544494	0.22830349	0.05537852	0.03261551	0.03260497	0.05459929	0.17085089	0.28766272	0.05466742	0.00000000	0.20396892	0.03228393	0.03293295	0.05496566	0.03334536	0.05436555	0.05524319	0.09402667	0.18149984	0.21585271	
otoGar3	0.21640952	0.25530017	0.20698492	0.20327253	0.20383537	0.20648951	0.15246883	0.31129451	0.20602783	0.20396892	0.00000000	0.20337402	0.20347044	0.20670412	0.20398703	0.20629105	0.20693827	0.21580680	0.21576059	0.24227477	
panPan1	0.09372619	0.22711583	0.05353432	0.01468268	0.01032720	0.05275469	0.16989997	0.28623732	0.05304891	0.03228393	0.20337402	0.00000000	0.00434895	0.05315409	0.02775132	0.05235705	0.05369839	0.09280600	0.18073022	0.21475523	
panTro4	0.09455701	0.22760442	0.05415555	0.01519896	0.01070342	0.05339510	0.17044749	0.28715200	0.05344898	0.03293295	0.20347044	0.00434895	0.00000000	0.05382481	0.02828307	0.05311856	0.05404302	0.09313172	0.18126021	0.21520407	
papAnu2	0.09950658	0.23086988	0.01827240	0.05338573	0.05373551	0.01085392	0.17401878	0.28890532	0.02701554	0.05496566	0.20670412	0.05315409	0.05382481	0.00000000	0.05426023	0.01191746	0.02718603	0.09814879	0.18443581	0.21827697	
ponAbe2	0.09485835	0.22807282	0.05463526	0.02807870	0.02779479	0.05384066	0.17076562	0.28732364	0.05397082	0.03334536	0.20398703	0.02775132	0.02828307	0.05426023	0.00000000	0.05354810	0.05461433	0.09361608	0.18147734	0.21562671	
rheMac3	0.09893702	0.23070935	0.01847640	0.05267831	0.05275473	0.00510260	0.17378395	0.28902357	0.02711965	0.05436555	0.20629105	0.05235705	0.05311856	0.01191746	0.05354810	0.00000000	0.02710131	0.09768061	0.18407401	0.21806978	
rhiRox1	0.09962748	0.23083367	0.02796993	0.05388103	0.05406614	0.02659256	0.17428843	0.28937002	0.01000443	0.05524319	0.20693827	0.05369839	0.05404302	0.02718603	0.05461433	0.02710131	0.00000000	0.09861658	0.18475333	0.21858665	
saiBol1	0.05226538	0.24018735	0.09869264	0.09287361	0.09315926	0.09786055	0.18451255	0.29729124	0.09789592	0.09402667	0.21580680	0.09280600	0.09313172	0.09814879	0.09361608	0.09768061	0.09861658	0.00000000	0.19397596	0.22770006	
tarSyr2	0.19524163	0.24238563	0.18488713	0.18088556	0.18121654	0.18428723	0.18612605	0.30237102	0.18441737	0.18149984	0.21576059	0.18073022	0.18126021	0.18443581	0.18147734	0.18407401	0.18475333	0.19397596	0.00000000	0.23041447	
tupBel1	0.22875335	0.25712569	0.21872396	0.21497891	0.21502246	0.21817774	0.21631552	0.31475722	0.21832453	0.21585271	0.24227477	0.21475523	0.21520407	0.21827697	0.21562671	0.21806978	0.21858665	0.22770006	0.23041447	0.00000000	
