	calJac3	canFam3	chlSab2	gorGor3	hg38	macFas5	micMur1	mm10	nasLar1	nomLeu3	otoGar3	panPan1	panTro4	papAnu2	ponAbe2	rheMac3	rhiRox1	saiBol1	tarSyr2	tupBel1
calJac3	0.00000000	0.34921007	0.15621841	0.13074741	0.17497610	0.12517606	0.30373080	0.39436383	0.21481815	0.11896398	0.00000000	0.12437356	0.17192583	0.12613538	0.11818722	0.12398680	0.21749368	0.07783848	0.32444332	0.36808270	
canFam3	0.34921007	0.00000000	0.36168450	0.00000000	0.36686612	0.33253118	0.39203475	0.43278034	0.40419392	0.32796179	0.00000000	0.00000000	0.36619944	0.33402069	0.33405088	0.33729140	0.40020417	0.00000000	0.41698925	0.42768392	
chlSab2	0.15621841	0.36168450	0.00000000	0.08129460	0.10900036	0.06311889	0.29154157	0.40215076	0.11029076	0.09526990	nan	0.08296136	0.10716004	0.06396511	0.08237940	0.04177379	0.07555036	0.16538781	0.31742610	0.34883044	
gorGor3	0.13074741	0.00000000	0.08129460	0.00000000	0.08470140	0.07852601	0.00000000	0.00000000	0.09293398	0.07395614	0.00000000	0.04760015	0.06285641	0.08013997	0.04074615	0.07611181	0.10781446	0.14549362	0.28800917	0.00000000	
hg38	0.17497610	0.36686612	0.10900036	0.08470140	0.00000000	0.13411579	0.30410849	0.40506563	0.15479031	0.11307766	0.40457065	0.10325396	0.02997003	0.13473517	0.08185982	0.10635856	0.12286370	0.18143214	0.32321801	0.34826492	
macFas5	0.12517606	0.33253118	0.06311889	0.07852601	0.13411579	0.00000000	0.28795076	0.37659156	0.09997875	0.07640287	0.42204899	0.07594110	0.12761275	0.02414919	0.07018082	0.00956725	0.12614378	0.15102958	0.30382261	0.34336142	
micMur1	0.30373080	0.39203475	0.29154157	0.00000000	0.30410849	0.28795076	0.00000000	0.38468248	0.00000000	0.28267351	0.00000000	0.00000000	0.30727483	0.28838024	0.27796980	0.28338506	0.00000000	0.00000000	0.00000000	0.35328572	
mm10	0.39436383	0.43278034	0.40215076	0.00000000	0.40506563	0.37659156	0.38468248	0.00000000	0.46056709	0.37635183	0.00000000	0.00000000	0.40395137	0.37674299	0.38037695	0.38118551	0.40647041	0.00000000	0.42777616	0.42464700	
nasLar1	0.21481815	0.40419392	0.11029076	0.09293398	0.15479031	0.09997875	0.00000000	0.46056709	0.00000000	0.12792228	0.00000000	0.07687350	0.14892620	0.10105496	0.10371548	0.06701833	0.06429202	0.15011868	0.32136054	0.00000000	
nomLeu3	0.11896398	0.32796179	0.09526990	0.07395614	0.11307766	0.07640287	0.28267351	0.37635183	0.12792228	0.00000000	0.41906422	0.08081090	0.10582554	0.07820420	0.04303592	0.06758465	0.15069758	0.14810293	0.30400160	0.33823816	
otoGar3	0.00000000	0.00000000	nan	0.00000000	0.40457065	0.42204899	0.00000000	0.00000000	0.00000000	0.41906422	0.00000000	0.00000000	0.40738926	0.42199329	0.41549808	0.41379574	0.00000000	0.00000000	0.00000000	0.00000000	
panPan1	0.12437356	0.00000000	0.08296136	0.04760015	0.10325396	0.07594110	0.00000000	0.00000000	0.07687350	0.08081090	0.00000000	0.00000000	0.09443869	0.07696539	0.04628286	0.07242832	0.08185660	0.12562284	nan	0.00000000	
panTro4	0.17192583	0.36619944	0.10716004	0.06285641	0.02997003	0.12761275	0.30727483	0.40395137	0.14892620	0.10582554	0.40738926	0.09443869	0.00000000	0.12813331	0.08241554	0.10505167	0.11927142	0.17918381	0.31843547	0.34990490	
papAnu2	0.12613538	0.33402069	0.06396511	0.08013997	0.13473517	0.02414919	0.28838024	0.37674299	0.10105496	0.07820420	0.42199329	0.07696539	0.12813331	0.00000000	0.07183990	0.01898460	0.12527941	0.15022604	0.30410022	0.34430914	
ponAbe2	0.11818722	0.33405088	0.08237940	0.04074615	0.08185982	0.07018082	0.27796980	0.38037695	0.10371548	0.04303592	0.41549808	0.04628286	0.08241554	0.07183990	0.00000000	0.06893297	0.10788331	0.14024240	0.29031168	0.33667488	
rheMac3	0.12398680	0.33729140	0.04177379	0.07611181	0.10635856	0.00956725	0.28338506	0.38118551	0.06701833	0.06758465	0.41379574	0.07242832	0.10505167	0.01898460	0.06893297	0.00000000	0.07687904	0.14184091	0.29680634	0.34071392	
rhiRox1	0.21749368	0.40020417	0.07555036	0.10781446	0.12286370	0.12614378	0.00000000	0.40647041	0.06429202	0.15069758	0.00000000	0.08185660	0.11927142	0.12527941	0.10788331	0.07687904	0.00000000	0.17278620	0.32333543	0.37797145	
saiBol1	0.07783848	0.00000000	0.16538781	0.14549362	0.18143214	0.15102958	0.00000000	0.00000000	0.15011868	0.14810293	0.00000000	0.12562284	0.17918381	0.15022604	0.14024240	0.14184091	0.17278620	0.00000000	0.31064737	0.00000000	
tarSyr2	0.32444332	0.41698925	0.31742610	0.28800917	0.32321801	0.30382261	0.00000000	0.42777616	0.32136054	0.30400160	0.00000000	nan	0.31843547	0.30410022	0.29031168	0.29680634	0.32333543	0.31064737	0.00000000	nan	
tupBel1	0.36808270	0.42768392	0.34883044	0.00000000	0.34826492	0.34336142	0.35328572	0.42464700	0.00000000	0.33823816	0.00000000	0.00000000	0.34990490	0.34430914	0.33667488	0.34071392	0.37797145	0.00000000	nan	0.00000000	
