	calJac3	canFam3	chlSab2	gorGor3	hg38	macFas5	micMur1	mm10	nasLar1	nomLeu3	otoGar3	panPan1	panTro4	papAnu2	ponAbe2	rheMac3	rhiRox1	saiBol1	tarSyr2	tupBel1
calJac3	0.00000000	0.30833814	0.12377604	0.11708010	0.11724263	0.12332167	0.22815339	0.37135831	0.12260162	0.11940582	0.27707308	0.11660553	0.11741118	0.12370667	0.11883047	0.12541544	0.12436432	0.06600916	0.23890642	0.28548019	
canFam3	0.30833814	0.00000000	0.29446141	0.28949435	0.28995777	0.29411543	0.29890695	0.42231059	0.29311859	0.29166354	0.33889050	0.28934758	0.28971270	0.29431430	0.29149786	0.29566027	0.29455385	0.30744860	0.31594731	0.33818709	
chlSab2	0.12377604	0.29446141	0.00000000	0.06688414	0.06618924	0.02322464	0.21215698	0.35857125	0.03557348	0.06936366	0.26429598	0.06630083	0.06672304	0.02399770	0.06835760	0.02791601	0.03607598	0.12239531	0.22401682	0.27148924	
gorGor3	0.11708010	0.28949435	0.06688414	0.00000000	0.01962585	0.06663774	0.20678317	0.35475354	0.06688601	0.04194397	0.25969862	0.02027974	0.02065502	0.06726659	0.03636723	0.06898508	0.06840248	0.11601152	0.21897819	0.26668984	
hg38	0.11724263	0.28995777	0.06618924	0.01962585	0.00000000	0.06629493	0.20667622	0.35441772	0.06613337	0.04128559	0.26045944	0.01456152	0.01450718	0.06699385	0.03521468	0.06849851	0.06806023	0.11589902	0.21915462	0.26659200	
macFas5	0.12332167	0.29411543	0.02322464	0.06663774	0.06629493	0.00000000	0.21164143	0.35800930	0.03407059	0.06913149	0.26397442	0.06614479	0.06656924	0.01540354	0.06809570	0.01188042	0.03487525	0.12184690	0.22344289	0.27103597	
micMur1	0.22815339	0.29890695	0.21215698	0.20678317	0.20667622	0.21164143	0.00000000	0.37230041	0.21167872	0.20840846	0.19455986	0.20638109	0.20698799	0.21196412	0.20831509	0.21332385	0.21265266	0.22703628	0.23648583	0.27689166	
mm10	0.37135831	0.42231059	0.35857125	0.35475354	0.35441772	0.35800930	0.37230041	0.00000000	0.35866603	0.35680131	0.40191671	0.35430115	0.35521730	0.35813186	0.35660447	0.35990310	0.35897003	0.37078469	0.38410923	0.40473262	
nasLar1	0.12260162	0.29311859	0.03557348	0.06688601	0.06613337	0.03407059	0.21167872	0.35866603	0.00000000	0.06912939	0.26248889	0.06639805	0.06663376	0.03487133	0.06817078	0.03828580	0.01451948	0.12164310	0.22333563	0.27086147	
nomLeu3	0.11940582	0.29166354	0.06936366	0.04194397	0.04128559	0.06913149	0.20840846	0.35680131	0.06912939	0.00000000	0.26136685	0.04129222	0.04182345	0.06968586	0.04298260	0.07163353	0.07057167	0.11790025	0.22051756	0.26861483	
otoGar3	0.27707308	0.33889050	0.26429598	0.25969862	0.26045944	0.26397442	0.19455986	0.40191671	0.26248889	0.26136685	0.00000000	0.25992982	0.25985891	0.26426628	0.26163945	0.26540788	0.26488053	0.27677823	0.28145741	0.31613228	
panPan1	0.11660553	0.28934758	0.06630083	0.02027974	0.01456152	0.06614479	0.20638109	0.35430115	0.06639805	0.04129222	0.25992982	0.00000000	0.00736109	0.06674376	0.03565852	0.06846619	0.06798447	0.11571573	0.21874548	0.26646164	
panTro4	0.11741118	0.28971270	0.06672304	0.02065502	0.01450718	0.06656924	0.20698799	0.35521730	0.06663376	0.04182345	0.25985891	0.00736109	0.00000000	0.06717619	0.03599613	0.06908758	0.06805729	0.11592418	0.21932841	0.26711588	
papAnu2	0.12370667	0.29431430	0.02399770	0.06726659	0.06699385	0.01540354	0.21196412	0.35813186	0.03487133	0.06968586	0.26426628	0.06674376	0.06717619	0.00000000	0.06871657	0.02053945	0.03566965	0.12225182	0.22374992	0.27124629	
ponAbe2	0.11883047	0.29149786	0.06835760	0.03636723	0.03521468	0.06809570	0.20831509	0.35660447	0.06817078	0.04298260	0.26163945	0.03565852	0.03599613	0.06871657	0.00000000	0.07062017	0.06973325	0.11746797	0.22061933	0.26848005	
rheMac3	0.12541544	0.29566027	0.02791601	0.06898508	0.06849851	0.01188042	0.21332385	0.35990310	0.03828580	0.07163353	0.26540788	0.06846619	0.06908758	0.02053945	0.07062017	0.00000000	0.03884308	0.12402092	0.22532209	0.27280038	
rhiRox1	0.12436432	0.29455385	0.03607598	0.06840248	0.06806023	0.03487525	0.21265266	0.35897003	0.01451948	0.07057167	0.26488053	0.06798447	0.06805729	0.03566965	0.06973325	0.03884308	0.00000000	0.12327364	0.22450964	0.27188051	
saiBol1	0.06600916	0.30744860	0.12239531	0.11601152	0.11589902	0.12184690	0.22703628	0.37078469	0.12164310	0.11790025	0.27677823	0.11571573	0.11592418	0.12225182	0.11746797	0.12402092	0.12327364	0.00000000	0.23770395	0.28474195	
tarSyr2	0.23890642	0.31594731	0.22401682	0.21897819	0.21915462	0.22344289	0.23648583	0.38410923	0.22333563	0.22051756	0.28145741	0.21874548	0.21932841	0.22374992	0.22061933	0.22532209	0.22450964	0.23770395	0.00000000	0.29473597	
tupBel1	0.28548019	0.33818709	0.27148924	0.26668984	0.26659200	0.27103597	0.27689166	0.40473262	0.27086147	0.26861483	0.31613228	0.26646164	0.26711588	0.27124629	0.26848005	0.27280038	0.27188051	0.28474195	0.29473597	0.00000000	
