	calJac3	canFam3	chlSab2	gorGor3	hg38	macFas5	micMur1	mm10	nasLar1	nomLeu3	otoGar3	panPan1	panTro4	papAnu2	ponAbe2	rheMac3	rhiRox1	saiBol1	tarSyr2	tupBel1
calJac3	0.00000000	0.33872658	0.12481570	0.11713818	0.11772904	0.12369658	0.26246363	0.44005777	0.12382349	0.11921213	0.30818734	0.11714965	0.11769018	0.12439335	0.11806635	0.12374144	0.12524606	0.06534561	0.27687961	0.33080560	
canFam3	0.33872658	0.00000000	0.32147708	0.31500802	0.31481294	0.32037726	0.32908274	0.49535784	0.32173597	0.31701130	0.37194276	0.31501328	0.31479927	0.32100332	0.31607748	0.32104522	0.32217752	0.33789625	0.35680537	0.37893123	
chlSab2	0.12481570	0.32147708	0.00000000	0.06701958	0.06688375	0.02380571	0.24585357	0.42139233	0.03461862	0.06902633	0.29223537	0.06665632	0.06708201	0.02479003	0.06759138	0.02446529	0.03476822	0.12423407	0.26029682	0.31426585	
gorGor3	0.11713818	0.31500802	0.06701958	0.00000000	0.01857131	0.06592101	0.23918016	0.41576108	0.06681155	0.04245471	0.28552363	0.01811792	0.01827095	0.06677334	0.03596950	0.06575796	0.06766774	0.11646695	0.25405144	0.30806368	
hg38	0.11772904	0.31481294	0.06688375	0.01857131	0.00000000	0.06619774	0.23890940	0.41461615	0.06653063	0.04262694	0.28577520	0.01403710	0.01429529	0.06706236	0.03564307	0.06562751	0.06758685	0.11674974	0.25474146	0.30791717	
macFas5	0.12369658	0.32037726	0.02380571	0.06592101	0.06619774	0.00000000	0.24472901	0.42026442	0.03273447	0.06801140	0.29119557	0.06556105	0.06626164	0.01518674	0.06658333	0.00524659	0.03307940	0.12293511	0.25910999	0.31320436	
micMur1	0.26246363	0.32908274	0.24585357	0.23918016	0.23890940	0.24472901	0.00000000	0.44494165	0.24629459	0.24067729	0.21190186	0.23907171	0.23896985	0.24536021	0.23979838	0.24519744	0.24650399	0.26185201	0.27646064	0.32413878	
mm10	0.44005777	0.49535784	0.42139233	0.41576108	0.41461615	0.42026442	0.44494165	0.00000000	0.42249590	0.41838767	0.47980636	0.41563836	0.41512091	0.42066922	0.41688462	0.42139100	0.42207265	0.43968920	0.46502636	0.48671926	
nasLar1	0.12382349	0.32173597	0.03461862	0.06681155	0.06653063	0.03273447	0.24629459	0.42249590	0.00000000	0.06861014	0.29159485	0.06649285	0.06668416	0.03366286	0.06724234	0.03351134	0.01239381	0.12358316	0.25986525	0.31460736	
nomLeu3	0.11921213	0.31701130	0.06902633	0.04245471	0.04262694	0.06801140	0.24067729	0.41838767	0.06861014	0.00000000	0.28754093	0.04179349	0.04235497	0.06884574	0.04264938	0.06776476	0.06952715	0.11842119	0.25584275	0.31013512	
otoGar3	0.30818734	0.37194276	0.29223537	0.28552363	0.28577520	0.29119557	0.21190186	0.47980636	0.29159485	0.28754093	0.00000000	0.28583562	0.28576148	0.29173231	0.28650111	0.29152338	0.29292507	0.30797233	0.32247381	0.36438953	
panPan1	0.11714965	0.31501328	0.06665632	0.01811792	0.01403710	0.06556105	0.23907171	0.41563836	0.06649285	0.04179349	0.28583562	0.00000000	0.00536144	0.06643240	0.03544255	0.06546120	0.06731317	0.11655416	0.25418621	0.30808987	
panTro4	0.11769018	0.31479927	0.06708201	0.01827095	0.01429529	0.06626164	0.23896985	0.41512091	0.06668416	0.04235497	0.28576148	0.00536144	0.00000000	0.06711572	0.03592340	0.06582343	0.06758259	0.11670559	0.25391938	0.30801150	
papAnu2	0.12439335	0.32100332	0.02479003	0.06677334	0.06706236	0.01518674	0.24536021	0.42066922	0.03366286	0.06884574	0.29173231	0.06643240	0.06711572	0.00000000	0.06749200	0.01618253	0.03399162	0.12365078	0.25982124	0.31382409	
ponAbe2	0.11806635	0.31607748	0.06759138	0.03596950	0.03564307	0.06658333	0.23979838	0.41688462	0.06724234	0.04264938	0.28650111	0.03544255	0.03592340	0.06749200	0.00000000	0.06637138	0.06814064	0.11722365	0.25462919	0.30908628	
rheMac3	0.12374144	0.32104522	0.02446529	0.06575796	0.06562751	0.00524659	0.24519744	0.42139100	0.03351134	0.06776476	0.29152338	0.06546120	0.06582343	0.01618253	0.06637138	0.00000000	0.03364886	0.12314750	0.25936201	0.31361483	
rhiRox1	0.12524606	0.32217752	0.03476822	0.06766774	0.06758685	0.03307940	0.24650399	0.42207265	0.01239381	0.06952715	0.29292507	0.06731317	0.06758259	0.03399162	0.06814064	0.03364886	0.00000000	0.12481833	0.26089416	0.31495071	
saiBol1	0.06534561	0.33789625	0.12423407	0.11646695	0.11674974	0.12293511	0.26185201	0.43968920	0.12358316	0.11842119	0.30797233	0.11655416	0.11670559	0.12365078	0.11722365	0.12314750	0.12481833	0.00000000	0.27658035	0.33008464	
tarSyr2	0.27687961	0.35680537	0.26029682	0.25405144	0.25474146	0.25910999	0.27646064	0.46502636	0.25986525	0.25584275	0.32247381	0.25418621	0.25391938	0.25982124	0.25462919	0.25936201	0.26089416	0.27658035	0.00000000	0.34671958	
tupBel1	0.33080560	0.37893123	0.31426585	0.30806368	0.30791717	0.31320436	0.32413878	0.48671926	0.31460736	0.31013512	0.36438953	0.30808987	0.30801150	0.31382409	0.30908628	0.31361483	0.31495071	0.33008464	0.34671958	0.00000000	
